index,include,title,abstract,first_author,year,journal,doi,pubmed_id,authors,pubmed_type,publication_types,mesh,webofscience_id,central_id,openalex_id,title_length,title_word_count,title_sentence_count,abstract_length,abstract_word_count,abstract_sentence_count,language_title,language_abstract
0,false,The effectiveness of clonidine as an analgesic in paediatric adenotonsillectomy,To compare the analgesic effects of preoperative oral clonidine with intraoperative intravenous fentanyl in children undergoing tonsillectomy or adenotonsillectomyThis randomized controlled doubleblind study of ASA III children age yr undergoing adenotonsillectomy was conducted at a tertiary care paediatric teaching hospital Either microgramskg clonidine po was given min preoperatively or microgramskg fentanyl iv was given intraoperatively Postoperatively visual analog pain scores VAS were recorded at rest and on swallowing every min for the first min and then every min for two hours Morphine mgkg iv was given for VAS or If doses were required mgkg codeine po and mgkg acetaminophen po were given Sedation and anxiety scores were recorded preoperatively Haemodynamic changes blood loss recovery scores and the incidence of vomiting hypotension and airway obstruction were recordedChildren who received clonidine had a higher incidence of preoperative sedation than those receiving fentanyl Preinduction mean arterial pressure was lower in the clonidine group but required no intervention VAS scores were similar throughout the observation period There was no difference either in the number of morphine or codeine rescue doses administered or in the incidence of side effectsOral clonidine is an effective analgesic and sedative for children undergoing tonsillectomy or adenotonsillectomy,Reimer EJ,1998,Can J Anaesth,https://doi.org/10.1007/bf03012457,10051933,Reimer EJ; Dunn GS; Montgomery CJ; Sanderson PM; Scheepers LD; Merrick PM,article,"D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article; D016449: Randomized Controlled Trial; D013485: Research Support, Non-U.S. Gov't","D000082: Acetaminophen; D000233: Adenoidectomy; D000284: Administration, Oral; D000700: Analgesics; D018712: Analgesics, Non-Narcotic; D000701: Analgesics, Opioid; D001794: Blood Pressure; D002648: Child; D003000: Clonidine; D003061: Codeine; D003243: Consciousness; D003679: Deglutition; D004311: Double-Blind Method; D005260: Female; D005283: Fentanyl; D005500: Follow-Up Studies; D006801: Humans; D015994: Incidence; D007275: Injections, Intravenous; D007430: Intraoperative Care; D008297: Male; D009020: Morphine; D010147: Pain Measurement; D010149: Pain, Postoperative; D011292: Premedication; D014068: Tonsillectomy",,,https://openalex.org/W2082613933,79,10,1,1501,244,12,en,en
1,false,A Controlled Trial of SustainedRelease Bupropion a Nicotine Patch or Both for Smoking Cessation,Use of nicotinereplacement therapies and the antidepressant bupropion helps people stop smoking We conducted a doubleblind placebocontrolled comparison of sustainedrelease bupropion subjects a nicotine patch subjects bupropion and a nicotine patch subjects and placebo subjects for smoking cessation Smokers with clinical depression were excluded Treatment consisted of nine weeks of bupropion mg a day for the first three days and then mg twice daily or placebo as well as eight weeks of nicotinepatch therapy mg per day during weeks through mg per day during week and mg per day during week or placebo The target day for quitting smoking was usually day,Jorenby DE,1999,N Engl J Med,https://doi.org/10.1056/nejm199903043400903,10053177,Jorenby DE; Leischow SJ; Nides MA; Rennard SI; Johnston JA; Hughes AR; Smith SS; Muramoto ML; Daughton DM; Doan K; Fiore MC; Baker TB,article,"D016430: Clinical Trial; D016428: Journal Article; D016449: Randomized Controlled Trial; D013485: Research Support, Non-U.S. Gov't","D000279: Administration, Cutaneous; D000328: Adult; D018687: Antidepressive Agents, Second-Generation; D016642: Bupropion; D003692: Delayed-Action Preparations; D004359: Drug Therapy, Combination; D005260: Female; D006801: Humans; D008297: Male; D009538: Nicotine; D016540: Smoking Cessation; D013375: Substance Withdrawal Syndrome; D015430: Weight Gain",,,https://openalex.org/W2312609348,98,16,1,727,141,5,en,en
2,false,Effects of methylphenidate on complex cognitive processing in attentiondeficit hyperactivity disorder,Three experiments were conducted to explore the effects of methylphenidate MPH attentiondeficit hyperactivity disorder ADHD diagnosis and age on performance on a complex visualmemory search task Results showed that the effects of MPH varied with information load On lowprocessing loads all doses of MPH helped children with ADHD to improve accuracy with no cost to reaction time RT whereas on high loads higher MPH doses improved error rates while slowing RT Without medication children with ADHD showed high error rates and slow RTs across both low and high loads as did younger normal control children Because MPH slowed performance on only the most difficult highload conditions it is argued that the drug improves selfregulatory ability enabling children with ADHD to adapt differentially to high and low loads,Berman T,1999,J Abnorm Psychol,https://doi.org/10.1037/0021-843x.108.1.90,10066996,Berman T; Douglas VI; Barr RG,article,"D016430: Clinical Trial; D018848: Controlled Clinical Trial; D016428: Journal Article; D013485: Research Support, Non-U.S. Gov't","D000293: Adolescent; D000367: Age Factors; D001289: Attention Deficit Disorder with Hyperactivity; D000697: Central Nervous System Stimulants; D002648: Child; D003071: Cognition; D004305: Dose-Response Relationship, Drug; D005260: Female; D006801: Humans; D008297: Male; D008568: Memory; D008774: Methylphenidate; D011597: Psychomotor Performance; D011930: Reaction Time; D014796: Visual Perception",,,https://openalex.org/W2022904832,103,12,1,841,149,5,en,en
3,false,Spinal Clonidine Prolongs Labor Analgesia from Spinal Sufentanil and Bupivacaine,We sought to determine whether spinal clonidine micro signg prolongs the analgesia from the spinal administration of sufentanil micro signg and bupivacaine mg early in the first stage of labor Thirty patients were randomized to receive a mL spinal injection of sufentanil micro signg bupivacaine mg with or without clonidine micro signg using a combined spinalepidural CSE technique Pain nausea pruritus sedation motor block blood pressure and heart rate were assessed until the patient requested additional analgesia Analgesia was significantly prolonged in patients who received spinal sufentanil bupivacaine clonidine vs min P Pain scores and side effects including motor block sedation and hypotension were similar between groups Spinal clonidine significantly prolongs labor analgesia from spinal sufentanil and bupivacaine without producing serious adverse side effects Implications We studied the effects of spinal clonidine administered with spinal sufentanil and bupivacaine on labor analgesia using a combined spinalepidural technique and conclude that spinal clonidine significantly prolongs labor analgesia from spinal sufentanil and bupivacaine without producing serious adverse effects Anesth Analg,D'Angelo R,1999,Anesth Analg,https://doi.org/10.1097/00000539-199903000-00020,10072008,D'Angelo R; Evans E; Dean LA; Gaver R; Eisenach JC,article,D016430: Clinical Trial; D016428: Journal Article; D016449: Randomized Controlled Trial,"D000328: Adult; D016362: Analgesia, Obstetrical; D000700: Analgesics; D000701: Analgesics, Opioid; D000779: Anesthetics, Local; D002045: Bupivacaine; D003000: Clonidine; D004357: Drug Synergism; D004359: Drug Therapy, Combination; D005260: Female; D006801: Humans; D007278: Injections, Spinal; D017409: Sufentanil",,,https://openalex.org/W2021097359,80,10,1,1322,224,8,en,en
4,false,LowDose Clozapine for the Treatment of DrugInduced Psychosis in Parkinsons Disease,Druginduced psychosis is a difficult problem to manage in patients with Parkinsons disease Multiple openlabel studies have reported that treatment with clozapine at low doses ameliorates psychosis without worsening parkinsonismWe conducted a randomized doubleblind placebocontrolled trial of low doses of clozapine to mg per day in patients at six sites over a period of months The patients mean age years had idiopathic Parkinsons disease and druginduced psychosis of at least four weeks duration All the patients continued to receive fixed doses of antiparkinsonian drugs during the four weeks of the trial Blood counts were monitored weekly in all the patientsThe mean dose of clozapine was mg per day The patients in the clozapine group had significantly more improvement than those in the placebo group in all three of the measures used to determine the severity of psychosis The mean SE scores on the Clinical Global Impression Scale improved by points for the patients receiving clozapine as compared with point for those receiving placebo P The score on the Brief Psychiatric Rating Scale improved by points for the patients receiving clozapine as compared with points for those receiving placebo P The score on the Scale for the Assessment of Positive Symptoms improved by points for the patients receiving clozapine as compared with points for those receiving placebo P Seven patients treated with clozapine had an improvement of at least three on the sevenpoint Clinical Global Impression Scale as compared with only one patient given placebo Clozapine treatment improved tremor and had no deleterious effect on the severity of parkinsonism In one patient clozapine was discontinued because of leukopeniaClozapine at daily doses of mg or less is safe and significantly improves druginduced psychosis without worsening parkinsonism,Parkinson Study Group,1999,N Engl J Med,https://doi.org/10.1056/nejm199903113401003,10072410,Parkinson Study Group,article,"D016430: Clinical Trial; D016428: Journal Article; D016448: Multicenter Study; D016449: Randomized Controlled Trial; D013485: Research Support, Non-U.S. Gov't; D013487: Research Support, U.S. Gov't, P.H.S.","D000368: Aged; D000978: Antiparkinson Agents; D014150: Antipsychotic Agents; D003024: Clozapine; D004311: Double-Blind Method; D005260: Female; D006801: Humans; D008297: Male; D010300: Parkinson Disease; D011605: Psychoses, Substance-Induced; D016896: Treatment Outcome",,,https://openalex.org/W4239283954,85,12,1,1994,336,12,en,en
5,false,Predictors of Relapse Following Response From a First Episode of Schizophrenia or Schizoaffective Disorder,BackgroundWe examined relapse after response to a first episode of schizophrenia or schizoaffective disorderMethods Patients with firstepisode schizophrenia were assessed on measures of psychopathologic variables cognition social functioning and biological variables and treated according to a standardized algorithmThe sample for the relapse analyses consisted of patients who responded to treatment of their index episode and were at risk for relapseResults Five years after initial recovery the cumulative first relapse rate was confidence interval CI the second relapse rate was CI By years after recovery from a second relapse the cumulative third relapse rate was CI Discontinuing antipsychotic drug therapy increased the risk of relapse by almost times hazard ratio for an initial relapse CI hazard ratio for a second relapse CI Subsequent analyses controlling for antipsychotic drug use showed that patients with poor premorbid adaptation to school and premorbid social withdrawal relapsed earlierSex diagnosis obstetric complications duration of psychotic illness before treatment baseline symptoms neuroendocrine measures methylphenidate hydrochloride challenge response neuropsychologic and magnetic resonance imaging measures time to response of the initial episode adverse effects during treatment and presence of residual symptoms after the initial episode were not significantly related to time to relapse ConclusionsThere is a high rate of relapse within years of recovery from a first episode of schizophrenia and schizoaffective disorderThis risk is diminished by maintenance antipsychotic drug treatment,Robinson D,1999,Arch Gen Psychiatry,https://doi.org/10.1001/archpsyc.56.3.241,10078501,Robinson D; Woerner MG; Alvir JM; Bilder R; Goldman R; Geisler S; Koreen A; Sheitman B; Chakos M; Mayerhoff D; Lieberman JA,article,"D016428: Journal Article; D013485: Research Support, Non-U.S. Gov't; D013487: Research Support, U.S. Gov't, P.H.S.",D000293: Adolescent; D000328: Adult; D014150: Antipsychotic Agents; D015331: Cohort Studies; D005260: Female; D005476: Fluphenazine; D005500: Follow-Up Studies; D006212: Hallucinations; D006801: Humans; D008137: Longitudinal Studies; D008279: Magnetic Resonance Imaging; D009483: Neuropsychological Tests; D010349: Patient Compliance; D011247: Pregnancy; D011248: Pregnancy Complications; D011336: Probability; D011569: Psychiatric Status Rating Scales; D011618: Psychotic Disorders; D012307: Risk Factors; D012559: Schizophrenia; D012565: Schizophrenic Psychology; D055502: Secondary Prevention; D012720: Severity of Illness Index; D012737: Sex Factors; D016896: Treatment Outcome,,,https://openalex.org/W2154849243,106,14,1,1787,304,2,en,en
6,false,Comparison of Risperidone and Placebo for Psychosis and Behavioral Disturbances Associated With Dementia,We report the findings from the first large doubleblind placebocontrolled study conducted to evaluate the efficacy and safety of risperidone in the treatment of psychotic and behavioral symptoms in institutionalized elderly patients with dementia patients women mean age years with DSMIV diagnoses of Alzheimers disease vascular dementia or mixed dementia and significant psychotic and behavioral symptoms were included Each patient was randomly assigned to receive placebo or mgday mgday or mgday of risperidone for weeks The primary outcome measure was the Behavioral Pathology in Alzheimers Disease rating scale BEHAVEADThe study was completed by of the patients Baseline Functional Assessment Staging scores were or in more than of the patients indicating severe dementia At endpoint significantly greater reductions in BEHAVEAD total scores and psychosis and aggressiveness subscale scores were seen in patients receiving and mgday of risperidone than in placebo patients p and p respectively At week mgday of risperidone was superior to placebo in reducing BEHAVEAD aggression scores p More adverse events were reported by patients receiving mgday of risperidone than mgday The most common doserelated adverse events were extrapyramidal symptoms somnolence and mild peripheral edema The frequency of extrapyramidal symptoms in patients receiving mgday of risperidone was not significantly greater than in placebo patientsRisperidone significantly improved symptoms of psychosis and aggressive behavior in patients with severe dementia Results show that mgday of risperidone is an appropriate dose for most elderly patients with dementia,Katz IR,1999,J Clin Psychiatry,https://doi.org/10.4088/jcp.v60n0207,10084637,Katz IR; Jeste DV; Mintzer JE; Clyde C; Napolitano J; Brecher M,article,"D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article; D016449: Randomized Controlled Trial; D013485: Research Support, Non-U.S. Gov't","D000368: Aged; D000369: Aged, 80 and over; D000374: Aggression; D000544: Alzheimer Disease; D014150: Antipsychotic Agents; D001480: Basal Ganglia Diseases; D003704: Dementia; D015140: Dementia, Vascular; D004305: Dose-Response Relationship, Drug; D004311: Double-Blind Method; D004334: Drug Administration Schedule; D005260: Female; D015577: Geriatric Assessment; D006801: Humans; D007326: Institutionalization; D008297: Male; D010919: Placebos; D018967: Risperidone; D012720: Severity of Illness Index; D016896: Treatment Outcome",,,https://openalex.org/W1993818042,104,13,1,1790,308,10,en,en
7,false,THA Improves Word Priming and Clonidine Enhances Fluency and Working Memory in Alzheimers Disease,We investigated the effects of a single administration of a cholinesterase inhibitor tetrahydroaminoacridine THA and mg orally and an agonist clonidine and gkg orally on neuropsychologic performance in two groups of patients with Alzheimers disease AD Clonidine enhanced a spatial working memory and verbal fluency but had no effect on spatial span or word priming THA enhanced word priming but had no effect on other performance measures Our data suggests that degeneration of the LC noradrenergic system and the cholinergic cells of the basal forebrain have different functional consequences during the progression of AD Finally a combined treatment with noradrenergic and cholinergic drugs might produce a qualitatively broader effect on cognitive functions than either of the treatments alone and more effectively attenuate clinical dementia,Riekkinen P,1999,Neuropsychopharmacology,https://doi.org/10.1016/s0893-133x(98)00093-1,10088136,Riekkinen P; Riekkinen M,article,D016430: Clinical Trial; D016428: Journal Article; D016449: Randomized Controlled Trial,"D000316: Adrenergic alpha-Agonists; D000368: Aged; D000544: Alzheimer Disease; D001794: Blood Pressure; D003000: Clonidine; D004311: Double-Blind Method; D004359: Drug Therapy, Combination; D005260: Female; D006801: Humans; D008297: Male; D008570: Memory, Short-Term; D018697: Nootropic Agents; D011597: Psychomotor Performance; D013619: Tacrine; D014705: Verbal Behavior",,,https://openalex.org/W1561544516,98,15,1,885,151,5,en,en
8,false,Diuretics and Blockers Do Not Have Adverse Effects at Year on Plasma Lipid and Lipoprotein Profiles in Men With Hypertension,Concern based on the reported shortterm adverse effects of antihypertensive agents on plasma lipid and lipoprotein profiles PLPPs has complicated the therapy for hypertensionTo compare the longterm year effects of different antihypertensive drugs and placebo on PLPPs in a multicenter randomized doubleblind parallelgroup clinical trial in US Veterans Affairs medical centersA total of ambulatory men years or older with diastolic blood pressures DBPs ranging from to mm Hg taking placebo were randomized to receive placebo or of antihypertensive drugs hydrochlorothiazide atenolol captopril clonidine diltiazem or prazosin After drug titration patients with a DBP of less than mm Hg were followed up for year Plasma lipids and lipoprotein profiles were determined at baseline after initial titration and at yearAfter weeks on a regimen of hydrochlorothiazide increases of mgdL mmolL in total cholesterol and mgdL in apolipoprotein B were significantly different P or from decreases of mgdL in total cholesterol and mgdL in ApoB levels while receiving prazosin but not from placebo Patients achieving positive DBP control using hydrochlorothiazide responders showed no adverse changes in PLPPs whereas nonresponders exhibited increases in triglycerides total cholesterol and lowdensity lipoprotein cholesterol levels Plasma lipids and lipoprotein profiles did not change significantly among treatment groups after year except for minor decreases in highdensity lipoprotein levels using hydrochlorothiazide clonidine and atenololNone of these antihypertensive drugs has any longterm adverse effects on PLPPs and therefore may be safely prescribed Previously reported shortterm adverse effects from using hydrochlorothiazide are limited to nonresponders,Lakshman MR,1999,Arch Intern Med,https://doi.org/10.1001/archinte.159.6.551,10090111,Lakshman MR; Reda DJ; Materson BJ; Cushman WC; Freis ED,article,"D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article; D016448: Multicenter Study; D016449: Randomized Controlled Trial; D013486: Research Support, U.S. Gov't, Non-P.H.S.","D000319: Adrenergic beta-Antagonists; D000328: Adult; D000368: Aged; D000959: Antihypertensive Agents; D001262: Atenolol; D001786: Blood Glucose; D002216: Captopril; D003000: Clonidine; D004110: Diltiazem; D004232: Diuretics; D004311: Double-Blind Method; D006787: Hospitals, Veterans; D006801: Humans; D006852: Hydrochlorothiazide; D006973: Hypertension; D008055: Lipids; D008074: Lipoproteins; D008297: Male; D008875: Middle Aged; D011188: Potassium; D011224: Prazosin; D013997: Time Factors; D016896: Treatment Outcome; D014481: United States",,,https://openalex.org/W2095656324,128,21,1,1876,305,6,en,en
9,false,Selegilineinduced postural hypotension in Parkinsons disease A longitudinal study on the effects of drug withdrawal,The United Kingdom Parkinsons Disease Research Group UKPDRG trial found an increased mortality in patients with Parkinsons disease PD randomized to receive mg selegiline per day and Ldopa compared with those taking Ldopa alone Recently we found that therapy with selegiline and Ldopa was associated with selective systolic orthostatic hypotension which was abolished by withdrawal of selegiline This unwanted effect on postural blood pressure was not the result of underlying autonomic failure The aims of this study were to confirm our previous findings in a separate cohort of patients and to determine the time course of the cardiovascular consequences of stopping selegiline in the expectation that this might shed light on the mechanisms by which the drug causes orthostatic hypotensionThe cardiovascular responses to standing and headup tilt were studied repeatedly in PD patients receiving selegiline and as the drug was withdrawnHeadup tilt caused systolic orthostatic hypotension which was marked in six of PD patients on selegiline one of whom lost consciousness with unrecordable blood pressures A lesser degree of orthostatic hypotension occurred with standing Orthostatic hypotension was ameliorated days after withdrawal of selegiline and totally abolished days after discontinuation of the drug Stopping selegiline also significantly reduced the supine systolic and diastolic blood pressures consistent with a previously undescribed supine pressor actionThis study confirms our previous finding that selegiline in combination with Ldopa is associated with selective orthostatic hypotension The possibilities that these cardiovascular findings might be the result of nonselective inhibition of monoamine oxidase or of amphetamine and metamphetamine are discussed,Churchyard A,1999,Mov Disord,https://doi.org/10.1002/1531-8257(199903)14:2<246::aid-mds1008>3.0.co;2-p,10091617,Churchyard A; Mathias CJ; Lees AJ,article,D016430: Clinical Trial; D016428: Journal Article,"D000368: Aged; D000704: Analysis of Variance; D000978: Antiparkinson Agents; D001794: Blood Pressure; D004244: Dizziness; D004359: Drug Therapy, Combination; D004837: Epinephrine; D005260: Female; D006257: Head; D006339: Heart Rate; D006801: Humans; D007024: Hypotension, Orthostatic; D008297: Male; D008875: Middle Aged; D009638: Norepinephrine; D010300: Parkinson Disease; D011187: Posture; D011446: Prospective Studies; D012642: Selegiline; D012720: Severity of Illness Index; D013375: Substance Withdrawal Syndrome; D013997: Time Factors",,,https://openalex.org/W2062309915,118,17,1,1812,272,8,en,en
