Dataset,Estimator,Recall,Specificity,Precision,F1,Accuracy
ADHD,Logistic Regression,"0.82
[0.5, 1.0]","0.88
[0.83, 0.91]","0.14
[0.03, 0.28]","0.25
[0.07, 0.43]","0.87
[0.83, 0.91]"
ADHD,Random Forest,"0.84
[0.5, 1.0]","0.8
[0.75, 0.85]","0.1
[0.02, 0.18]","0.18
[0.03, 0.32]","0.8
[0.75, 0.85]"
ADHD,Support Vector Machine,"0.83
[0.5, 1.0]","0.9
[0.86, 0.94]","0.18
[0.04, 0.33]","0.29
[0.09, 0.5]","0.9
[0.86, 0.94]"
ADHD,Complement Naive Bayes,"1.0
[1.0, 1.0]","0.61
[0.55, 0.67]","0.06
[0.02, 0.11]","0.12
[0.02, 0.21]","0.62
[0.56, 0.68]"
ADHD,Llama-3.1-8B-Instruct,"1.0
[1.0, 1.0]","0.81
[0.76, 0.86]","0.12
[0.04, 0.21]","0.21
[0.06, 0.36]","0.81
[0.76, 0.86]"
Animal Depression,Logistic Regression,"0.92
[0.86, 0.97]","0.91
[0.89, 0.94]","0.65
[0.56, 0.73]","0.76
[0.69, 0.83]","0.92
[0.89, 0.94]"
Animal Depression,Random Forest,"0.93
[0.87, 0.98]","0.88
[0.84, 0.9]","0.56
[0.46, 0.65]","0.7
[0.63, 0.77]","0.88
[0.85, 0.91]"
Animal Depression,Support Vector Machine,"0.91
[0.83, 0.97]","0.92
[0.9, 0.94]","0.67
[0.58, 0.76]","0.77
[0.69, 0.84]","0.92
[0.9, 0.94]"
Animal Depression,Complement Naive Bayes,"0.97
[0.93, 1.0]","0.64
[0.6, 0.68]","0.32
[0.26, 0.37]","0.48
[0.41, 0.55]","0.69
[0.65, 0.73]"
Animal Depression,Llama-3.1-8B-Instruct,"0.96
[0.91, 1.0]","0.83
[0.79, 0.86]","0.49
[0.41, 0.57]","0.65
[0.57, 0.72]","0.85
[0.81, 0.88]"
Atypical Antipsychotics,Logistic Regression,"0.83
[0.71, 0.94]","0.75
[0.7, 0.8]","0.34
[0.25, 0.43]","0.48
[0.38, 0.58]","0.76
[0.71, 0.81]"
Atypical Antipsychotics,Random Forest,"0.81
[0.68, 0.92]","0.74
[0.68, 0.79]","0.32
[0.22, 0.41]","0.46
[0.36, 0.56]","0.75
[0.7, 0.79]"
Atypical Antipsychotics,Support Vector Machine,"0.81
[0.68, 0.91]","0.78
[0.73, 0.83]","0.36
[0.25, 0.46]","0.5
[0.39, 0.6]","0.78
[0.73, 0.82]"
Atypical Antipsychotics,Complement Naive Bayes,"0.96
[0.88, 1.0]","0.22
[0.18, 0.27]","0.16
[0.11, 0.2]","0.27
[0.2, 0.35]","0.32
[0.27, 0.37]"
Atypical Antipsychotics,Llama-3.1-8B-Instruct,"0.79
[0.66, 0.9]","0.47
[0.41, 0.53]","0.18
[0.13, 0.24]","0.3
[0.21, 0.38]","0.51
[0.45, 0.57]"
Calcium Channel Blockers,Logistic Regression,"0.68
[0.5, 0.84]","0.77
[0.73, 0.82]","0.21
[0.14, 0.3]","0.32
[0.21, 0.44]","0.77
[0.72, 0.81]"
Calcium Channel Blockers,Random Forest,"0.57
[0.39, 0.76]","0.8
[0.76, 0.84]","0.21
[0.12, 0.29]","0.3
[0.19, 0.42]","0.78
[0.74, 0.82]"
Calcium Channel Blockers,Support Vector Machine,"0.68
[0.48, 0.86]","0.81
[0.76, 0.85]","0.24
[0.14, 0.34]","0.36
[0.24, 0.47]","0.8
[0.75, 0.84]"
Calcium Channel Blockers,Complement Naive Bayes,"0.96
[0.88, 1.0]","0.26
[0.21, 0.31]","0.1
[0.07, 0.14]","0.19
[0.12, 0.26]","0.32
[0.27, 0.37]"
Calcium Channel Blockers,Llama-3.1-8B-Instruct,"0.82
[0.66, 0.95]","0.38
[0.33, 0.44]","0.11
[0.07, 0.15]","0.19
[0.11, 0.27]","0.42
[0.37, 0.47]"
Oral Hypoglycemics,Logistic Regression,"0.59
[0.42, 0.76]","0.73
[0.65, 0.81]","0.43
[0.3, 0.57]","0.49
[0.36, 0.62]","0.69
[0.62, 0.77]"
Oral Hypoglycemics,Random Forest,"0.72
[0.57, 0.86]","0.64
[0.54, 0.73]","0.41
[0.29, 0.54]","0.53
[0.41, 0.64]","0.66
[0.58, 0.74]"
Oral Hypoglycemics,Support Vector Machine,"0.53
[0.36, 0.69]","0.8
[0.72, 0.88]","0.49
[0.33, 0.66]","0.51
[0.37, 0.64]","0.73
[0.65, 0.81]"
Oral Hypoglycemics,Complement Naive Bayes,"1.0
[1.0, 1.0]","0.17
[0.1, 0.24]","0.3
[0.21, 0.38]","0.46
[0.36, 0.56]","0.38
[0.3, 0.47]"
Oral Hypoglycemics,Llama-3.1-8B-Instruct,"0.89
[0.79, 0.98]","0.28
[0.2, 0.37]","0.31
[0.23, 0.39]","0.45
[0.35, 0.56]","0.44
[0.36, 0.52]"
