include,title,abstract,doi,literature_id
False,,,https://doi.org/10.1042/bj1300919,4656804
False,,,,6542443
False,,,,
True,,,https://doi.org/10.1111/ejn.12410,24188077
False,,,https://doi.org/10.1097/00003246-200106000-00024,11395604
True,,,https://doi.org/10.1002/ptr.1391,15103665
True,,,https://doi.org/10.1007/s007020170077,11341483
True,,,,
False,,,https://doi.org/10.1007/s00360-011-0580-4,21512743
False,,,https://doi.org/10.1111/j.1600-0773.1980.tb02450.x,6768221
False,,,https://doi.org/10.1097/00000542-199012000-00013,2147368
False,,,https://doi.org/10.1016/j.neuropharm.2011.01.017,21256140
False,,,https://doi.org/10.5692/clinicalneurol.52.900,23196458
False,,,https://doi.org/10.1152/jappl.1998.84.2.733,9475887
False,,,https://doi.org/10.1016/0014-2999(91)90827-d,1804658
False,,,https://doi.org/10.1016/s0091-6773(75)90595-7,1137554
False,,,https://doi.org/10.1111/j.1439-0388.1997.tb00514.x,21395824
False,,,,892583
True,,,,
False,,,https://doi.org/10.1111/j.1476-5381.1970.tb09879.x,4315094
False,,,https://doi.org/10.1002/food.19890330515,2788818
False,,,https://doi.org/10.1111/j.1460-9568.2008.06401.x,18691332
False,,,https://doi.org/10.1016/j.physbeh.2005.01.005,15811385
True,,,https://doi.org/10.1016/s0006-8993(02)03772-1,12468026
False,,,https://doi.org/10.1016/0010-4035(71)90011-5,4353988
False,,,,5360666
False,,,https://doi.org/10.1016/0005-2728(68)90147-3,4170447
True,,,https://doi.org/10.1016/j.brainres.2014.10.055,25451113
False,,,https://doi.org/10.1016/0304-4165(68)90214-6,5737930
False,,,https://doi.org/10.1016/j.jcpa.2013.01.008,23582929
False,,,,
False,,,,15806971
False,,,,156933
False,,,https://doi.org/10.1152/japplphysiol.01371.2009,20133428
False,,,https://doi.org/10.1016/0006-8993(81)90068-8,6784887
False,,,https://doi.org/10.1093/omcr/omv024,26634135
False,,,https://doi.org/10.1002/ajpa.21328,20949610
True,,,https://doi.org/10.1016/s0006-8993(03)02577-0,12763616
False,,,https://doi.org/10.1016/j.neures.2008.06.002,18602428
False,,,https://doi.org/10.1016/0091-3057(87)90140-7,3575361
False,,,https://doi.org/10.1034/j.1399-6576.2001.450919.x,11683670
False,,,https://doi.org/10.1089/08977150252932406,11990351
False,,,,26590347
False,,,https://doi.org/10.1093/cercor/bhp184,19903765
False,,,https://doi.org/10.1042/bj1480447,173282
False,,,https://doi.org/10.1152/jn.1994.72.2.890,7983544
False,,,https://doi.org/10.1016/s0924-977x(11)70249-8,
False,,,https://doi.org/10.1007/bf01990208,6299
False,,,https://doi.org/10.1152/jappl.1999.86.3.993,10066715
False,,,https://doi.org/10.1016/0024-3205(92)90001-6,
False,,,https://doi.org/10.1152/jn.00365.2002,12466430
False,,,https://doi.org/10.1016/0014-2999(88)90052-0,2899512
False,,,https://doi.org/10.3389/fendo.2013.00190,24379803
False,,,,14057140
False,,,https://doi.org/10.1016/0006-8993(89)90585-4,2720421
False,,,https://doi.org/10.1016/0014-2999(93)90362-l,8386086
False,,,,4667356
False,,,https://doi.org/10.1152/ajpregu.00317.2004,15242827
False,,,https://doi.org/10.1111/j.1476-5381.1979.tb17339.x,760885
False,,,,1751614
False,,,,598875
False,,,https://doi.org/10.1016/0091-3057(75)90175-6,1103159
False,,,,15895493
False,,,https://doi.org/10.1111/j.1476-5381.1978.tb07802.x,27281
True,,,https://doi.org/10.1016/j.bbr.2006.06.038,16904763
False,,,https://doi.org/10.1016/s0090-6980(75)80044-x,1239793
