include,title,abstract,doi,literature_id
True,,,https://doi.org/10.1016/s0006-3223(98)00291-1,10071708
False,,,https://doi.org/10.1016/s0006-3223(98)00367-9,10071726
False,,,https://doi.org/10.1056/nejm199903113401003,10072410
False,,,https://doi.org/10.1056/nejm199903113401011,10072418
False,,,https://doi.org/10.1159/000026565,10072664
False,,,https://doi.org/10.1017/s0033291798007673,10077298
False,,,https://doi.org/10.1001/archpsyc.56.3.241,10078501
True,,,https://doi.org/10.4088/jcp.v60n0207,10084637
False,,,https://doi.org/10.1097/00001756-199901180-00011,10094133
False,,,https://doi.org/10.1111/j.1600-0447.1999.tb00972.x,10100910
False,,,https://doi.org/10.2165/00019053-199508030-00004,10155617
False,,,https://doi.org/10.2165/00019053-199711010-00005,10172917
False,,,,10178498
True,,,https://doi.org/10.1016/s0893-133x(98)00090-6,10192829
False,,,https://doi.org/10.1176/ajp.156.4.610,10200742
False,,,https://doi.org/10.1097/00008480-199904000-00013,10202629
True,,,https://doi.org/10.1192/bjp.174.1.15,10211146
False,,,https://doi.org/10.1192/bjp.174.1.23,10211147
False,,,https://doi.org/10.1097/00004714-199904000-00025,10211930
False,,,https://doi.org/10.1016/s0165-1781(99)00002-5,10220013
False,,,https://doi.org/10.1097/00004850-199903000-00012,10220130
False,,,https://doi.org/10.4088/jcp.v60n0402,10221280
False,,,https://doi.org/10.1177/026988119901300108,10221361
True,,,https://doi.org/10.1016/s0920-9964(98)00145-5,10227103
False,,,https://doi.org/10.1007/s002130050902,10229062
False,,,https://doi.org/10.1097/00019442-199905000-00006,10322240
True,,,https://doi.org/10.1176/ajp.156.5.702,10327902
False,,,https://doi.org/10.1176/ps.50.5.704,10332914
False,,,https://doi.org/10.1002/1531-8257(199905)14:3<468::aid-mds1013>3.0.co;2-m,10348471
False,,,https://doi.org/10.1016/s0006-3223(98)00146-2,10349044
False,,,https://doi.org/10.1007/0-306-47521-9_8,10349067
False,,,https://doi.org/10.1097/00004714-199906000-00015,10350037
False,,,https://doi.org/10.1016/s0165-0327(98)00076-7,10357026
False,,,https://doi.org/10.1001/archpsyc.56.6.565,10359474
True,,,https://doi.org/10.1176/ajp.156.6.863,10360124
False,,,https://doi.org/10.1097/00007691-199906000-00017,10365650
False,,,https://doi.org/10.1111/j.1532-5415.1999.tb01595.x,10366172
False,,,https://doi.org/10.1016/s0278-5846(98)00087-6,10368852
False,,,https://doi.org/10.3109/10673229809000313,10370450
False,,,,10372607
False,,,https://doi.org/10.1016/s0006-3223(98)00199-1,10376128
False,,,,10376627
False,,,https://doi.org/10.1007/s002280050621,10379638
False,,,https://doi.org/10.1016/s0006-3223(99)00029-3,10394475
False,,,https://doi.org/10.1016/s0006-3223(98)00372-2,10394486
False,,,https://doi.org/10.1016/s0149-2918(99)80003-4,10397376
False,,,https://doi.org/10.1176/ajp.156.7.990,10401441
False,,,https://doi.org/10.1176/ajp.156.7.1126,10401484
False,,,https://doi.org/10.4088/jcp.v60n0602,10401912
False,,,https://doi.org/10.4088/jcp.v60n0603,10401913
False,,,https://doi.org/10.4088/jcp.v60n0604,10401914
False,,,https://doi.org/10.1176/ps.50.7.901,10402608
False,,,https://doi.org/10.1016/s0165-0327(98)00124-4,10404707
False,,,https://doi.org/10.1016/s0165-0327(98)00119-0,10404715
False,,,,10410494
False,,,https://doi.org/10.1093/oxfordjournals.schbul.a033374,10416727
True,,,https://doi.org/10.1093/oxfordjournals.schbul.a033375,10416728
False,,,https://doi.org/10.1093/oxfordjournals.schbul.a033376,10416729
False,,,https://doi.org/10.1093/oxfordjournals.schbul.a033379,10416732
False,,,https://doi.org/10.1093/oxfordjournals.schbul.a033381,10416734
False,,,https://doi.org/10.1093/oxfordjournals.schbul.a033387,10416740
False,,,https://doi.org/10.1097/00005650-199907000-00008,10424639
False,,,https://doi.org/10.1016/s0893-133x(98)00121-3,10432467
False,,,https://doi.org/10.1016/s0893-133x(99)00014-7,10432468
False,,,https://doi.org/10.1016/s0006-3223(99)00040-2,10435201
False,,,https://doi.org/10.1002/1531-8257(199907)14:4<652::aid-mds1015>3.0.co;2-g,10435503
False,,,https://doi.org/10.1097/00004850-199905002-00005,10435771
False,,,https://doi.org/10.1097/00004714-199908000-00012,10440464
False,,,https://doi.org/10.1192/bjp.174.3.238,10448449
False,,,https://doi.org/10.1176/ajp.156.8.1164,10450255
False,,,https://doi.org/10.4088/jcp.v60n0710,10453803
False,,,,10464776
False,,,https://doi.org/10.1097/00004850-199907000-00002,10468313
True,,,https://doi.org/10.1023/a:1008958925848,10474283
False,,,https://doi.org/10.1016/s0033-3182(99)71210-7,10479950
False,,,https://doi.org/10.1023/a:1022351725541,10482120
False,,,https://doi.org/10.1016/s0165-1781(99)00033-5,10482343
False,,,https://doi.org/10.1176/ajp.156.9.1374,10484947
False,,,https://doi.org/10.1176/ajp.156.9.1417,10484954
False,,,https://doi.org/10.4088/jcp.v60n0804,10485634
False,,,https://doi.org/10.2165/00002512-199915020-00002,10495068
False,,,,10495984
True,,,https://doi.org/10.1212/wnl.53.5.946,10496251
False,,,https://doi.org/10.1177/070674379904400709,10500873
False,,,https://doi.org/10.1055/s-2007-979221,10505485
False,,,https://doi.org/10.1097/00004714-199910000-00007,10505585
False,,,https://doi.org/10.1097/00006842-199909000-00008,10511014
False,,,https://doi.org/10.2165/00003088-199937030-00001,10511917
False,,,https://doi.org/10.1016/s0893-133x(99)00065-2,10516959
False,,,https://doi.org/10.1097/00004850-199909000-00002,10529070
False,,,https://doi.org/10.3122/jabfm.12.5.375,10534086
False,,,https://doi.org/10.2165/00019053-199915050-00005,10537964
False,,,,10546082
False,,,https://doi.org/10.4088/jcp.v60n1003,10549681
