include,title,abstract,doi,literature_id
False,,,https://doi.org/10.1161/01.hyp.33.2.713,10024334
False,,,,10029786
False,,,https://doi.org/10.1016/s0140-6736(98)05012-0,10030325
False,,,https://doi.org/10.1902/jop.1999.70.1.63,10052772
False,,,https://doi.org/10.1056/nejm199903043400902,10053176
False,,,,10067786
False,,,https://doi.org/10.1097/00005344-199903000-00019,10069685
False,,,https://doi.org/10.1016/s0002-9149(98)00904-7,10073852
False,,,https://doi.org/10.1016/s0002-9149(99)00035-1,10080455
False,,,https://doi.org/10.1001/archinte.159.6.551,10090111
False,,,https://doi.org/10.1016/s0895-7061(98)00233-7,10090348
False,,,,10091520
False,,,https://doi.org/10.1097/00045391-199801000-00005,10099034
False,,,https://doi.org/10.1097/00045391-199809000-00007,10099075
False,,,https://doi.org/10.1038/sj.jhh.1000780,10100056
False,,,https://doi.org/10.1038/sj.jhh.1000769,10100063
False,,,https://doi.org/10.1097/00004872-199917030-00001,10100066
False,,,https://doi.org/10.1097/00004872-199917030-00018,10100083
False,,,,10158113
False,,,,10172139
False,,,,10183386
True,,,https://doi.org/10.1002/(sici)1097-0142(19990315)85:6<1369::aid-cncr21>3.0.co;2-5,10189144
False,,,https://doi.org/10.1016/s0895-7061(98)00225-8,10192229
False,,,https://doi.org/10.1016/s0895-7061(98)00259-3,10192233
False,,,https://doi.org/10.1136/thx.53.12.1094,10195086
False,,,https://doi.org/10.1016/s0003-4975(98)01039-x,10197663
False,,,,10202197
False,,,https://doi.org/10.1093/ageing/28.1.15,10203199
False,,,https://doi.org/10.1038/sj.jhh.1000787,10204813
False,,,https://doi.org/10.1016/s0140-6736(05)70455-4,10213554
True,,,https://doi.org/10.1001/archinte.159.7.693,10218748
False,,,https://doi.org/10.1016/s0002-8703(99)70409-6,10220634
False,,,https://doi.org/10.1080/080370598437178,10321444
True,,,https://doi.org/10.1111/j.1532-5415.1999.tb02562.x,10323641
False,,,https://doi.org/10.1136/bmj.318.7194.1332,10323823
False,,,https://doi.org/10.3810/pgm.1999.05.1.735,10335324
False,,,https://doi.org/10.1046/j.1365-2125.1999.00924.x,10336572
False,,,https://doi.org/10.1046/j.1365-2125.1999.00926.x,10336581
False,,,,10342920
False,,,,10342928
False,,,https://doi.org/10.2165/00002018-199920050-00004,10348094
False,,,https://doi.org/10.1001/jama.281.20.1927,10349897
False,,,https://doi.org/10.1007/s003920050275,10355069
