include,title,abstract,first_author,year,journal,doi,pubmed_id,authors,pubmed_type,publication_types,mesh,webofscience_id,central_id,openalex_id,title_length,title_word_count,title_sentence_count,abstract_length,abstract_word_count,abstract_sentence_count
false,hypoglycemia associated with high doses of sertraline and sulphonylurea compound in a noninsulin-dependent diabetes mellitus patient.,"unlike other selective serotonin reuptake inhibitors (ssris), sertraline has linear pharmacokinetics so that increases in dose lead to proportional increases in drug concentration. the half-life of sertraline is about 26 h so that it reaches a steady state in one week, according to the product monograph. hypoglycemia associated with sertraline and coadministration of oral hypoglycemics belonging to the sulphonylurea derivatives has rarely been reported. a patient with schizoaffective disorder with non-insulin-dependent diabetes mellitus (niddm) treated with sertraline, risperidone and glyburide who developed hypoglycemia is presented. the article highlights that inhibition of p450 enzymes can be affected by several different factors. interactions are possible whenever a patient concomitantly receives two drugs that bind to the same p450 system greater inhibition was likely induced at doses higher than those recommended. this process was reversed within 10 days of discontinuing the sertraline. good glycemic control followed discontinuation of psychotropic drugs and the oral hypoglycemic agent. knowledge of the individual p450 enzymes is important in the metabolism of individual drugs, together with an understanding of the patient's drug metabolizing ability. these factors may lead to more appropriate prescribing and further research into specific p450 enzymes responsible for metabolism of particular drugs, which remains unclear.",Takhar J,1999,Can J Clin Pharmacol,,10465860,Takhar J; Williamson P,article,D002363: Case Reports; D016428: Journal Article,"D000328: Adult; D018687: Antidepressive Agents, Second-Generation; D003924: Diabetes Mellitus, Type 2; D004347: Drug Interactions; D006801: Humans; D007003: Hypoglycemia; D007004: Hypoglycemic Agents; D008297: Male; D011618: Psychotic Disorders; D020280: Sertraline; D013453: Sulfonylurea Compounds",,,https://openalex.org/W188838531,133,17,1,1451,220,10
false,glucose tolerance and mortality: comparison of who and american diabetes association diagnostic criteria. the decode study group. european diabetes epidemiology group. diabetes epidemiology: collaborative analysis of diagnostic criteria in europe.,"the american diabetes association (ada) recommend that fasting glucose alone with the oral glucose tolerance test should be used to diagnose diabetes mellitus. we assessed mortality associated with the ada fasting-glucose criteria compared with the who 2 h post-challenge glucose criteria.we assessed baseline data on glucose concentrations at fasting and 2 h after the 75 g oral glucose tolerance test from 13 prospective european cohort studies, which included 18,048 men and 7316 women aged 30 years or older. mean follow-up was 7.3 years. we assessed the risk of death according to the different diagnostic glucose categories.compared with men who had normal fasting glucose (< 6.1 mmol/l), men with newly diagnosed diabetes mellitus by the ada fasting criteria (> or = 7.0 mmol/l) had a hazard ratio for death of 1.81 (95% ci 1.49-2.20); for women the hazard ratio was 1.79 (1.18-2.69). for impaired fasting glucose (6.1-6.9 mmol/l), the hazard ratios were 1.21 (1.05-1.41) and 1.08 (0.70-1.66). for the who criteria (> or = 11.1 mmol/l), the ratios for newly diagnosed diabetes were 2.02 (1.66-2.46) in men and 2.77 (1.96-3.92) in women, and for impaired glucose tolerance (7.8-11.1 mmol/l) were 1.51 (1.32-1.72) and 1.60 (1.22-2.10). within each fasting-glucose classification, mortality increased with increasing 2 h glucose. however, for 2 h glucose classifications of impaired glucose tolerance, and diabetes, there was no trend for increasing fasting glucose concentrations.fasting-glucose concentrations alone do not identify individuals at increased risk of death associated with hyperglycaemia. the oral glucose tolerance test provides additional prognostic information and enables detection of individuals with impaired glucose tolerance, who have the greatest attributable risk of death.",,1999,Lancet,,10466661,,article,"D003160: Comparative Study; D016428: Journal Article; D016448: Multicenter Study; D013485: Research Support, Non-U.S. Gov't","D000328: Adult; D001786: Blood Glucose; D003920: Diabetes Mellitus; D005215: Fasting; D005260: Female; D005500: Follow-Up Studies; D005951: Glucose Tolerance Test; D006801: Humans; D006943: Hyperglycemia; D008297: Male; D017410: Practice Guidelines as Topic; D016016: Proportional Hazards Models; D012307: Risk Factors; D012955: Societies, Medical; D014481: United States; D014944: World Health Organization",,,https://openalex.org/W4300535524,247,36,4,1803,315,9
false,"a short-term cost-of-treatment model for type 2 diabetes: comparison of glipizide gastrointestinal therapeutic system, metformin, and acarbose.","to compare, from a managed care perspective, the 3-year costs of 3 first-line monotherapy strategies in type 2 diabetes patients: glipizide gastrointestinal therapeutic system (gits), metformin, and acarbose.a markov model, with a monte carlo simulation, was developed to compare the costs to achieve full glycemic control (hemoglobin a1c of < or = 7%) with each first-line strategy.the patient population for the model was assumed to be all newly diagnosed type 2 diabetes patients eligible for monotherapy with an oral agent. each monotherapy could be succeeded by add-on treatments. the model included the costs of routine medical care and supplies, medication, adverse events, and treatment failures.using a monte carlo simulation, the mean 3-year cumulative costs per patient were $4971, $5273, and $5311 for glipizide gits, metformin, and acarbose first-line strategies, respectively. the main cost drivers were drug prices. mean 3-year cost savings for first-line glipizide gits were $301 over metformin and $340 over acarbose. between 83% and 85% of all simulations showed cost savings with glipizide gits compared with the other agents.the model suggests first-line monotherapy with glipizide gits should result in desirable short-term economic benefits for managed care. because the model incorporates recommended glycemic goals and performed well in sensitivity analyses, it should be applicable to a variety of clinical practices and useful for economic assessments of new therapies. results of this model should be verified prospectively in typical care settings.",Ramsdell JW,1999,Am J Manag Care,,10558125,Ramsdell JW; Grossman JA; Stephens JM; Botteman MF; Arocho R,article,"D016428: Journal Article; D013485: Research Support, Non-U.S. Gov't","D020909: Acarbose; D003663: Decision Trees; D003924: Diabetes Mellitus, Type 2; D016527: Drug Costs; D005913: Glipizide; D017048: Health Care Costs; D006295: Health Resources; D006801: Humans; D007004: Hypoglycemic Agents; D008329: Managed Care Programs; D008390: Markov Chains; D008687: Metformin; D009010: Monte Carlo Method; D009819: Office Visits; D014312: Trisaccharides; D014481: United States",,,https://openalex.org/W2398443498,143,21,1,1576,268,8
false,oral pharmacologic management of type 2 diabetes.,"epidemiologic and interventional studies have led to lower treatment targets for type 2 diabetes (formerly known as non-insulin-dependent diabetes), including a glycosylated hemoglobin level of 7 percent or less and a before-meal blood glucose level of 80 to 120 mg per dl (4.4 to 6.7 mmol per l). new oral medications make these targets easier to achieve, especially in patients with recently diagnosed diabetes. acarbose, metformin, miglitol, pioglitazone, rosiglitazone and troglitazone help the patient's own insulin control glucose levels and allow early treatment with little risk of hypoglycemia. two new long-acting sulfonylureas (glimepiride and extended-release glipizide) and a short-acting sulfonylurea-like agent (repaglinide) simply and reliably augment the patient's insulin supply. combinations of agents have additive therapeutic effects and can restore glucose control when a single agent is no longer successful. oral therapy for early type 2 diabetes can be relatively inexpensive, and evidence of its cost-effectiveness is accumulating.",Riddle MC,1999,Am Fam Physician,,10605995,Riddle MC,article,"D016428: Journal Article; D013485: Research Support, Non-U.S. Gov't; D016454: Review","D017485: 1-Deoxynojirimycin; D020909: Acarbose; D000284: Administration, Oral; D001786: Blood Glucose; D003924: Diabetes Mellitus, Type 2; D004359: Drug Therapy, Combination; D004791: Enzyme Inhibitors; D005944: Glucosamine; D065089: Glycoside Hydrolase Inhibitors; D006801: Humans; D007004: Hypoglycemic Agents; D050112: Imino Pyranoses; D008687: Metformin; D013453: Sulfonylurea Compounds; D013844: Thiazoles; D045162: Thiazolidinediones; D014481: United States",,,https://openalex.org/W24538750,49,8,1,1057,171,6
false,new directions in type 2 diabetes mellitus: an update of current oral antidiabetic therapy.,"this article reviewed the relevant literature including published clinical trials and reviews on currently available oral hypoglycemic agents. results showed that the benefits of glycemic control have been established through multiple clinical trials. long-term control of blood glucose levels in type 1 and type 2 diabetic patients will decrease the incidence and prolong the time until progression of diabetic retinopathy, nephropathy, and neuropathy. our increased understanding of the pathophysiology behind type 2 diabetes has led to the development of many new agents that are aimed at treating the underlying insulin resistance and relative insulinopenia. the sulfonylureas as a group have been used for many years and act by stimulating insulin secretion. they are useful alone or as combination therapy with insulin or another oral hypoglycemic agent. the biguanides act by decreasing hepatic glucose production and by increasing peripheral insulin sensitivity. the alpha-glucosidase inhibitors act nonsystemically by blocking the metabolism of digested polysaccharides and therefore lowering the amount of carbohydrate absorbed in a meal. benzoic acid derivatives act in a manner similar to that of sulfonylureas by enhancing pancreatic insulin production. they offer a shorter duration of action, lowering the risk of hypoglycemia. the thiazolidinediones increase peripheral insulin sensitivity and are effective as both monotherapy and combination therapy. oral hypoglycemic agents, when properly administered, are very effective in controlling type 2 diabetes and preventing long-term complications.",Brown DL,1999,J Natl Med Assoc,,10643211,Brown DL; Brillon D,article,D016428: Journal Article; D016454: Review,"D002219: Carbamates; D002839: Chromans; D003924: Diabetes Mellitus, Type 2; D006801: Humans; D007004: Hypoglycemic Agents; D008687: Metformin; D010880: Piperidines; D013453: Sulfonylurea Compounds; D013844: Thiazoles; D045162: Thiazolidinediones; D000077288: Troglitazone",,,https://openalex.org/W2196820307,91,16,1,1612,242,12
false,[repaglinide in combination therapy in type 2 diabetes].,"in addition to dietary and lifestyle changes, standing as the cornerstone of type 2 diabetes care, pharmacological treatments, whether as single or multidrug patterns, are often necessary for an efficient blood glucose control. besides insulin, four different oral antidiabetic drug categories are available, each of them acting through different and potentially synergistic ways. oral antidiabetic drugs include: 1) biguanides acting through the reduction of hepatic glucose production and are most efficient in obese patients; 2) alpha-glucosidase inhibitors delaying carbohydrate intestinal absorption; 3) thiazolidinediones or ""glitazones"", acting as insulin sensitizers; 4) insulin secretion enhancers, mainly including sulfonylureas, which increase insulin secretion and are being credited by a long clinical usage; these are now joined by the new generation of insulin secretion enhancers, led by repaglinide, which can mimic the physiological insulin secretion profile by a specific stimulatory effect on beta-cells characterized by its fast onset and short half-life. obviously, the combination of these different antidiabetic drugs, by targetting different synergistic and additive pathways, can help to further improve blood glucose.",Moses R,1999,Diabetes Metab,,10746009,Moses R,article,D016428: Journal Article,"D002219: Carbamates; D003924: Diabetes Mellitus, Type 2; D004359: Drug Therapy, Combination; D006801: Humans; D007004: Hypoglycemic Agents; D007328: Insulin; D000078790: Insulin Secretion; D007515: Islets of Langerhans; D008687: Metformin; D010880: Piperidines",,,https://openalex.org/W2411187505,56,11,1,1244,198,4
false,[pharma-clinics. medication of the month. glimepiride (amarylle)].,"glimepiride, commercialized in belgium under the trade name of amarylle by aventis, is a new sulphonylurea compound which is indicated in the treatment of type 2 diabetes, after diet and exercise failure. it is available as 2 mg tablets. the initial doses is 1 mg, to be progressively increased up to 4 mg per day, if necessary, with a maximal daily dose of 6 mg. it is recommended to take glimepiride once a day, with the first main meal. because of a particular binding of this sulphonylurea to the b cells of langerhans pancreatic islets and, perhaps, of the presence of some extrapancreatic effects, both hypoglycaemic risk and circulating plasma insulin levels are lower with glimepiride than with glibenclamide, the reference sulphonylurea agent used in comparative clinical trials.",Scheen AJ,2000,Rev Med Liege,,10823010,Scheen AJ,article,D004740: English Abstract; D016428: Journal Article,"D000284: Administration, Oral; D003924: Diabetes Mellitus, Type 2; D004334: Drug Administration Schedule; D006801: Humans; D007004: Hypoglycemic Agents; D013453: Sulfonylurea Compounds",,,https://openalex.org/W2413453284,66,14,3,788,144,5
false,troglitazone or metformin in combination with sulfonylureas for patients with type 2 diabetes?,"combination oral therapy is often used to control the hyperglycemia of patients with type 2 diabetes. we compared the effectiveness of metformin and troglitazone when added to sulfonylurea therapy for patients with type 2 diabetes who had suboptimal blood glucose control.we used a randomized 2-group design to compare the efficacy, safety, and tolerability of troglitazone and metformin for patients with type 2 diabetes mellitus that was inadequately controlled with diet and oral sulfonylureas. thirty-two subjects were randomized to receive either troglitazone or metformin for 14 weeks, including a 2-week drug-titration period. the primary outcome variable was mean change in the level of glycosylated hemoglobin (hb a1c) from baseline. secondary outcomes included mean changes from baseline in fasting plasma glucose and c-peptide levels, renal or metabolic side effects, and symptomatic tolerability.the addition of either troglitazone or metformin to oral sulfonylurea therapy significantly decreased hb a1c levels. both treatment regimens also significantly reduced fasting plasma glucose and c-peptide levels. we found no significant differences between the treatment arms in efficacy, metabolic side effects, or tolerability.our results demonstrate that troglitazone and metformin each significantly improved hb a1c, fasting plasma glucose, and c-peptide levels when added to oral sulfonylurea therapy for patients with type 2 diabetes who had inadequate glucose control.",Kirk JK,1999,J Fam Pract,,10907625,Kirk JK; Pearce KA; Michielutte R; Summerson JH,article,D016430: Clinical Trial; D016428: Journal Article; D016449: Randomized Controlled Trial,"D000328: Adult; D000368: Aged; D002839: Chromans; D003924: Diabetes Mellitus, Type 2; D004359: Drug Therapy, Combination; D005260: Female; D005913: Glipizide; D006442: Glycated Hemoglobin; D006801: Humans; D007004: Hypoglycemic Agents; D008297: Male; D008687: Metformin; D008875: Middle Aged; D013453: Sulfonylurea Compounds; D013844: Thiazoles; D045162: Thiazolidinediones; D000077288: Troglitazone",,,https://openalex.org/W2401881665,94,14,1,1483,225,7
false,[pharmacological treatment of postprandial hyperglycemia].,"every diabetes treatment contributes to the control of postprandial blood glucose, yet some agents more specifically target this goal. alpha-glucosidase inhibitors, led by acarbose, mainly address postprandial glucose control. these agents inhibit intestinal disaccharidases through a competitive effect and can be used either as the sole treatment or in combination with other antidiabetic drugs. other agents improve insulin secretion kinetics. this is the case for repaglinide et nateglinide, which are efficient in controlling postprandial blood glucose, and to a lesser degree, fasting blood glucose. these agents shortly and quickly stimulate insulin secretion and should be available soon. in oral therapy secondary failures, trials are currently being conducted to clarify the role of fast-acting insulin analogs, as monotherapy or in combination. finally, insulin sensitizing agents are being investigated as a way to improve postprandial glucose efflux by potentiating insulin effects. the optimal strategy for the use of these different therapeutic agents remains to be established, as well as their long-term effects on diabetic complications.",Blickle JF,2000,Diabetes Metab,,10975046,Blickle JF,article,D016428: Journal Article; D016454: Review,"D003924: Diabetes Mellitus, Type 2; D006801: Humans; D006943: Hyperglycemia; D007004: Hypoglycemic Agents; D007328: Insulin; D000078790: Insulin Secretion; D019518: Postprandial Period",,,https://openalex.org/W161548532,58,8,1,1155,182,9
false,does holiday hypoglycaemia exist?,"to determine whether an excessive, prolonged and, above all, unusual physical exertion could be associated with episodes of mild hypoglycaemia in non-insulin-dependent diabetes mellitus (niddm) patients treated with glibenclamide.11 months of observation with retrospective analysis of patient personal diaries to determine the hypoglycaemic risk.diabetic unit-department of medicine and aging-chieti university school of medicine.we enrolled 340 niddm outpatients adjusted for sex, age, body mass index, alcohol intake and oral treatment regimen with glibenclamide. patients were tested monthly for circadian blood glucose profiles and glycosylated hemoglobin. mild hypoglycaemia was defined on the basis of blood glucose values < 2.8 mmol/l associated with mild autonomic symptoms, without requiring external assistance. each diabetic patient filled personal diary indicating the therapy regimen and the characteristics of eventual hypoglycaemic episodes occurring during the observation period.21.8% of niddm patients experienced one or two episodes of mild hypoglycaemia during the observation period. the analysis of the patients' diaries showed that 60% of the hypoglycaemic episodes was associated with excessive, prolonged and unexpected physical exertions. within this group, about 70% of the episodes occurred during a holiday (""holiday hypoglycaemia""). after analyzing the socio-demographic and clinical characteristics of the diabetic patients reporting hypoglycaemic events, we found a higher risk for ""holiday hypoglycaemia"" in patients with a lower educational level, with a sedentary occupation or among the ex-farmers.as resulted in the present study, unexpected physical exertions may represent a relevant cause of mild hypoglycaemia in diabetic patients receiving oral antidiabetic therapy. however, this hypoglycaemic cause may have been underestimated in the literature. educational programs conducted by general practitioners or diabetologists could be useful for the patients in reducing the number of mild hypoglycaemic episodes.",Guagnano MT,2000,Panminerva Med,,11019600,Guagnano MT; Pace-Palitti V; Formisano S; Della Loggia F; D'Anchino M; Della Vecchia R; Merlitti D; Sensi S,article,D016428: Journal Article,"D003924: Diabetes Mellitus, Type 2; D005260: Female; D005905: Glyburide; D006801: Humans; D007003: Hypoglycemia; D007004: Hypoglycemic Agents; D008297: Male; D008875: Middle Aged; D005082: Physical Exertion; D012189: Retrospective Studies",,,https://openalex.org/W2398719108,33,5,1,2053,307,9
