include,title,abstract,doi,literature_id,openalex_id
False,,,https://doi.org/10.1042/bj1300919,4656804,https://openalex.org/W2401025235
False,,,,6542443,https://openalex.org/W2410512259
False,,,,,https://openalex.org/W2418079034
True,,,https://doi.org/10.1111/ejn.12410,24188077,https://openalex.org/W2017388204
False,,,https://doi.org/10.1097/00003246-200106000-00024,11395604,https://openalex.org/W1995720522
True,,,https://doi.org/10.1002/ptr.1391,15103665,https://openalex.org/W1996157110
True,,,https://doi.org/10.1007/s007020170077,11341483,https://openalex.org/W2006608223
True,,,,,https://openalex.org/W2418627755
False,,,https://doi.org/10.1007/s00360-011-0580-4,21512743,https://openalex.org/W2051971541
False,,,https://doi.org/10.1111/j.1600-0773.1980.tb02450.x,6768221,https://openalex.org/W1982689851
False,,,https://doi.org/10.1097/00000542-199012000-00013,2147368,https://openalex.org/W2127282953
False,,,https://doi.org/10.1016/j.neuropharm.2011.01.017,21256140,https://openalex.org/W2080123927
False,,,https://doi.org/10.5692/clinicalneurol.52.900,23196458,https://openalex.org/W2086860344
False,,,https://doi.org/10.1152/jappl.1998.84.2.733,9475887,https://openalex.org/W1903839936
False,,,https://doi.org/10.1016/0014-2999(91)90827-d,1804658,https://openalex.org/W2039208819
False,,,https://doi.org/10.1016/s0091-6773(75)90595-7,1137554,https://openalex.org/W2054569536
False,,,https://doi.org/10.1111/j.1439-0388.1997.tb00514.x,21395824,https://openalex.org/W1991941775
False,,,,892583,https://openalex.org/W2437663016
True,,,,,
False,,,https://doi.org/10.1111/j.1476-5381.1970.tb09879.x,4315094,https://openalex.org/W2037833207
False,,,https://doi.org/10.1002/food.19890330515,2788818,https://openalex.org/W2068396139
False,,,https://doi.org/10.1111/j.1460-9568.2008.06401.x,18691332,https://openalex.org/W2033673485
False,,,https://doi.org/10.1016/j.physbeh.2005.01.005,15811385,https://openalex.org/W2065372738
True,,,https://doi.org/10.1016/s0006-8993(02)03772-1,12468026,https://openalex.org/W2034556970
False,,,https://doi.org/10.1016/0010-4035(71)90011-5,4353988,https://openalex.org/W1978271202
False,,,,5360666,
False,,,https://doi.org/10.1016/0005-2728(68)90147-3,4170447,https://openalex.org/W4239156926
True,,,https://doi.org/10.1016/j.brainres.2014.10.055,25451113,https://openalex.org/W2088034141
False,,,https://doi.org/10.1016/0304-4165(68)90214-6,5737930,https://openalex.org/W2045999921
False,,,https://doi.org/10.1016/j.jcpa.2013.01.008,23582929,https://openalex.org/W2022989760
False,,,,,
False,,,,15806971,https://openalex.org/W2364550161
False,,,,156933,https://openalex.org/W2409299694
False,,,https://doi.org/10.1152/japplphysiol.01371.2009,20133428,https://openalex.org/W2061850743
False,,,https://doi.org/10.1016/0006-8993(81)90068-8,6784887,https://openalex.org/W1971378711
False,,,https://doi.org/10.1093/omcr/omv024,26634135,https://openalex.org/W2142103134
False,,,https://doi.org/10.1002/ajpa.21328,20949610,https://openalex.org/W2116619300
True,,,https://doi.org/10.1016/s0006-8993(03)02577-0,12763616,https://openalex.org/W1991563210
False,,,https://doi.org/10.1016/j.neures.2008.06.002,18602428,https://openalex.org/W1995470858
False,,,https://doi.org/10.1016/0091-3057(87)90140-7,3575361,https://openalex.org/W2045411763
False,,,https://doi.org/10.1034/j.1399-6576.2001.450919.x,11683670,https://openalex.org/W2082785573
False,,,https://doi.org/10.1089/08977150252932406,11990351,https://openalex.org/W2088336015
False,,,,26590347,
False,,,https://doi.org/10.1093/cercor/bhp184,19903765,https://openalex.org/W2170006311
False,,,https://doi.org/10.1042/bj1480447,173282,https://openalex.org/W2344486621
False,,,https://doi.org/10.1152/jn.1994.72.2.890,7983544,https://openalex.org/W2437269401
False,,,https://doi.org/10.1016/s0924-977x(11)70249-8,,https://openalex.org/W2083256584
False,,,https://doi.org/10.1007/bf01990208,6299,https://openalex.org/W1991565148
False,,,https://doi.org/10.1152/jappl.1999.86.3.993,10066715,https://openalex.org/W2298419517
False,,,https://doi.org/10.1016/0024-3205(92)90001-6,,https://openalex.org/W2014039042
False,,,https://doi.org/10.1152/jn.00365.2002,12466430,https://openalex.org/W2000457183
False,,,https://doi.org/10.1016/0014-2999(88)90052-0,2899512,https://openalex.org/W2087093946
False,,,https://doi.org/10.3389/fendo.2013.00190,24379803,https://openalex.org/W2102713298
False,,,,14057140,https://openalex.org/W640687008
False,,,https://doi.org/10.1016/0006-8993(89)90585-4,2720421,https://openalex.org/W2037245181
False,,,https://doi.org/10.1016/0014-2999(93)90362-l,8386086,https://openalex.org/W2053623929
False,,,,4667356,https://openalex.org/W2470791774
False,,,https://doi.org/10.1152/ajpregu.00317.2004,15242827,https://openalex.org/W2078829960
False,,,https://doi.org/10.1111/j.1476-5381.1979.tb17339.x,760885,https://openalex.org/W2078146926
False,,,,1751614,https://openalex.org/W2473809047
False,,,,598875,https://openalex.org/W2410471063
False,,,https://doi.org/10.1016/0091-3057(75)90175-6,1103159,https://openalex.org/W2055675663
False,,,,15895493,https://openalex.org/W4291991160
False,,,https://doi.org/10.1111/j.1476-5381.1978.tb07802.x,27281,https://openalex.org/W2046905406
True,,,https://doi.org/10.1016/j.bbr.2006.06.038,16904763,https://openalex.org/W2039502108
False,,,https://doi.org/10.1016/s0090-6980(75)80044-x,1239793,https://openalex.org/W1998766499
False,,,https://doi.org/10.1016/s0091-6773(77)90864-1,901360,https://openalex.org/W2015992483
False,,,,,
False,,,,,https://openalex.org/W2161753516
True,,,https://doi.org/10.1016/0006-3223(92)90118-j,1386257,https://openalex.org/W2054879566
False,,,https://doi.org/10.1016/j.burns.2009.04.029,19695784,https://openalex.org/W2146987077
False,,,https://doi.org/10.1016/j.brainresbull.2011.06.013,21745548,https://openalex.org/W2028939054
False,,,https://doi.org/10.1097/00006123-198412000-00029,6096760,https://openalex.org/W2047300440
False,,,https://doi.org/10.1016/s0306-4522(01)00405-5,11738133,https://openalex.org/W1978718459
False,,,,6110396,https://openalex.org/W2396630259
False,,,https://doi.org/10.1016/0014-2999(93)90951-d,8482324,https://openalex.org/W2085853985
False,,,https://doi.org/10.1016/j.neuron.2010.05.003,20547133,https://openalex.org/W2046496537
False,,,https://doi.org/10.1016/j.gerinurse.2011.12.005,22321806,https://openalex.org/W2077392501
False,,,,5113505,https://openalex.org/W2082027613
False,,,,4371671,https://openalex.org/W1865964546
False,,,,5403605,https://openalex.org/W2461195697
False,,,https://doi.org/10.1038/npp.2015.326,26632287,https://openalex.org/W4231942457
False,,,,2697692,https://openalex.org/W2410639483
False,,,https://doi.org/10.3168/jds.s0022-0302(85)80795-5,2984271,https://openalex.org/W1995972324
False,,,https://doi.org/10.1016/0304-3940(83)90378-6,6138735,https://openalex.org/W2030566544
False,,,https://doi.org/10.1016/s0008-6363(97)00253-8,9614507,https://openalex.org/W2056941133
False,,,https://doi.org/10.1053/jfms.2000.0082,11716604,https://openalex.org/W2081548609
False,,,https://doi.org/10.1007/bf01997616,2085140,https://openalex.org/W1995347243
False,,,https://doi.org/10.1016/0024-3205(75)90515-9,1160500,https://openalex.org/W2052973712
False,,,https://doi.org/10.1042/cs0770651,2514062,https://openalex.org/W2413405440
False,,,https://doi.org/10.1016/0306-4522(91)90275-s,1775237,https://openalex.org/W1996328680
True,,,https://doi.org/10.1016/j.brainres.2007.11.027,18164281,https://openalex.org/W2049431458
True,,,https://doi.org/10.1016/j.neuropharm.2015.08.026,26297535,https://openalex.org/W1136508987
False,,,https://doi.org/10.1242/jeb.84.1.227,6245165,https://openalex.org/W1945292634
False,,,https://doi.org/10.1016/s0090-6980(75)80010-4,1197792,https://openalex.org/W2054640839
False,,,https://doi.org/10.1016/s0022-5223(96)70445-2,8583809,https://openalex.org/W1969078552
False,,,https://doi.org/10.1016/s0924-977x(97)00051-5,9619687,https://openalex.org/W2059567546
False,,,https://doi.org/10.1111/j.1420-9101.2007.01363.x,17714315,https://openalex.org/W1494131393
False,,,https://doi.org/10.1111/j.1476-5381.1979.tb17341.x,32943,https://openalex.org/W2067118029
False,,,https://doi.org/10.1002/cne.20360,15611993,https://openalex.org/W2063693395
False,,,,1120965,https://openalex.org/W2260029760
False,,,,,https://openalex.org/W2409708689
False,,,https://doi.org/10.5713/ajas.2011.11315,25049566,https://openalex.org/W1967691531
False,,,https://doi.org/10.1371/journal.pone.0105307,25157984,https://openalex.org/W2090348793
False,,,https://doi.org/10.1038/mp.2012.57,22641180,https://openalex.org/W2011355421
False,,,https://doi.org/10.1093/cercor/13.2.123,12507943,https://openalex.org/W2156469669
False,,,https://doi.org/10.1016/j.neuroscience.2009.08.075,19748551,https://openalex.org/W1973041420
False,,,https://doi.org/10.1210/endo-89-1-112,5089656,https://openalex.org/W2005311770
False,,,https://doi.org/10.1111/j.1399-6576.1995.tb04221.x,8607301,https://openalex.org/W1974942116
False,,,https://doi.org/10.1002/jps.2600621134,4271307,https://openalex.org/W2088715994
False,,,,21870364,https://openalex.org/W2396229990
True,,,https://doi.org/10.1016/j.neulet.2015.10.023,26472709,https://openalex.org/W2181277438
False,,,,1191769,https://openalex.org/W4290112001
False,,,https://doi.org/10.1124/jpet.106.104166,16690723,https://openalex.org/W2078790407
False,,,https://doi.org/10.1007/bf00585941,8058475,https://openalex.org/W2002221710
True,,,https://doi.org/10.1523/jneurosci.23-19-07311.2003,12917364,https://openalex.org/W2146918064
False,,,,9342937,https://openalex.org/W1976975148
True,,,https://doi.org/10.1016/s0006-8993(02)02461-7,12020859,https://openalex.org/W2094078013
False,,,https://doi.org/10.1113/jphysiol.1994.sp020149,8057256,https://openalex.org/W2160408886
False,,,https://doi.org/10.1152/jn.1986.56.2.424,3760929,https://openalex.org/W2293805976
True,,,https://doi.org/10.1016/s0306-4530(97)00052-8,9373882,https://openalex.org/W2087504641
False,,,https://doi.org/10.1631/jzus.b1000316,21887845,https://openalex.org/W1969510398
False,,,https://doi.org/10.1016/s0006-8993(01)02775-5,11578599,https://openalex.org/W2006856101
False,,,https://doi.org/10.1016/j.neuron.2004.12.023,15629704,https://openalex.org/W1967271803
False,,,https://doi.org/10.1016/0304-3940(96)12639-2,8736637,https://openalex.org/W2075384196
False,,,https://doi.org/10.1016/0016-5085(90)91153-w,1976561,https://openalex.org/W1944323946
False,,,https://doi.org/10.1111/j.1399-6576.1966.tb00988.x,4388360,https://openalex.org/W2054887220
False,,,https://doi.org/10.1083/jcb.112.1.95,1702444,https://openalex.org/W2126913416
False,,,https://doi.org/10.1213/00000539-199107000-00014,1713427,https://openalex.org/W2061781266
False,,,https://doi.org/10.1111/j.1528-1157.1984.tb04181.x,6538480,https://openalex.org/W2156882432
False,,,https://doi.org/10.1159/000175579,1178145,https://openalex.org/W2025625709
False,,,,3452458,https://openalex.org/W2252660366
False,,,,1681433,https://openalex.org/W2422328572
False,,,,6248144,https://openalex.org/W2440923980
True,,,https://doi.org/10.1016/0306-4530(90)90060-m,2129310,https://openalex.org/W2091035975
False,,,https://doi.org/10.1172/jci107221,4685084,https://openalex.org/W2096300153
False,,,https://doi.org/10.1182/blood-2010-06-292391,,https://openalex.org/W1967091196
False,,,,581976,https://openalex.org/W2415555572
False,,,https://doi.org/10.1111/j.2047-2927.2013.00159.x,24249651,https://openalex.org/W2016229586
False,,,https://doi.org/10.1007/s00726-008-0191-x,18953681,https://openalex.org/W2049768067
True,,,https://doi.org/10.1097/00001756-199503000-00024,7605927,https://openalex.org/W2062926328
False,,,https://doi.org/10.1152/japplphysiol.01269.2011,22362402,https://openalex.org/W2126841723
False,,,https://doi.org/10.3181/00379727-131-33914,4306807,https://openalex.org/W2331079359
False,,,https://doi.org/10.1016/0008-8749(78)90057-6,209901,https://openalex.org/W2312525053
False,,,https://doi.org/10.1007/s00213-007-0993-7,17992518,https://openalex.org/W2035132074
False,,,https://doi.org/10.1097/00001756-199806220-00033,9674599,https://openalex.org/W2068826499
False,,,https://doi.org/10.1097/00004647-199601000-00015,8530545,https://openalex.org/W2011869479
False,,,https://doi.org/10.1053/jcpt.1996.0211,10684419,https://openalex.org/W2471137120
False,,,,4413187,https://openalex.org/W2464487234
True,,,https://doi.org/10.1038/mp.2010.131,21242991,https://openalex.org/W2058287142
False,,,https://doi.org/10.2131/jts.17.supplementiv_201,1296024,https://openalex.org/W2324348364
False,,,https://doi.org/10.1155/2015/794729,25648520,https://openalex.org/W2057960834
False,,,https://doi.org/10.1111/j.1365-3083.1974.tb01290.x,4607940,https://openalex.org/W1993970985
False,,,https://doi.org/10.1177/0333102413515344,24335852,https://openalex.org/W2163486949
False,,,,2608326,https://openalex.org/W2402646946
False,,,https://doi.org/10.1016/j.euroneuro.2009.06.009,19577438,https://openalex.org/W2015349376
False,,,https://doi.org/10.33549/physiolres.932314,22670693,https://openalex.org/W2188963259
False,,,https://doi.org/10.1159/000124081,3921860,https://openalex.org/W1987477231
False,,,https://doi.org/10.1016/0006-2952(75)90054-4,1212268,https://openalex.org/W2066533389
False,,,,2821638,https://openalex.org/W2418659697
False,,,https://doi.org/10.1016/0092-8674(74)90122-6,4473272,https://openalex.org/W1999144340
False,,,https://doi.org/10.1016/j.biopsych.2005.02.010,15866557,https://openalex.org/W2010945173
False,,,https://doi.org/10.1007/bf02424449,8375666,https://openalex.org/W1988018151
True,,,,,
False,,,https://doi.org/10.1016/j.biopsych.2011.03.031,,https://openalex.org/W4300397101
False,,,https://doi.org/10.1007/bf02245180,7753960,https://openalex.org/W2035167426
True,,,,,https://openalex.org/W2466278180
False,,,https://doi.org/10.1095/biolreprod29.4.938,6640042,https://openalex.org/W2142029612
False,,,https://doi.org/10.1016/0091-3057(91)90142-o,1686102,https://openalex.org/W2001445635
False,,,https://doi.org/10.1152/jn.1997.77.4.2209,9114268,https://openalex.org/W2440975384
False,,,https://doi.org/10.1016/j.jad.2010.02.111,20299106,https://openalex.org/W2012799874
False,,,https://doi.org/10.1111/j.1460-9568.1993.tb00923.x,8275236,https://openalex.org/W2136726936
True,,,https://doi.org/10.1016/j.bbr.2014.07.039,25092571,https://openalex.org/W2046796618
False,,,https://doi.org/10.1016/0223-5234(94)90197-x,,https://openalex.org/W2065630013
False,,,,42297,https://openalex.org/W2439228072
False,,,https://doi.org/10.1016/0091-3057(81)90248-3,7193886,https://openalex.org/W2017062718
False,,,https://doi.org/10.1023/a:1022010707704,12625403,https://openalex.org/W2002122253
False,,,https://doi.org/10.1523/jneurosci.1729-07.2008,18171931,https://openalex.org/W2067144876
False,,,https://doi.org/10.1016/0009-2797(80)90078-2,6253089,https://openalex.org/W2059301316
False,,,https://doi.org/10.1111/jeb.12600,25661713,https://openalex.org/W2065024133
False,,,https://doi.org/10.1016/0304-3940(92)90316-y,1320750,https://openalex.org/W2057044780
False,,,https://doi.org/10.1523/jneurosci.18-09-03416.1998,9547248,https://openalex.org/W2165192296
False,,,https://doi.org/10.1109/embc.2012.6346191,23366152,https://openalex.org/W1967081560
False,,,https://doi.org/10.1111/j.1471-4159.2012.07849.x,,https://openalex.org/W4246547321
False,,,,8832908,https://openalex.org/W2414568298
False,,,https://doi.org/10.1038/508296a,24740043,https://openalex.org/W2067647827
False,,,https://doi.org/10.1152/jn.1995.74.5.2150,8592203,https://openalex.org/W1952600154
False,,,https://doi.org/10.1016/s0166-4328(02)00243-7,12527452,https://openalex.org/W2153964101
False,,,https://doi.org/10.2190/om.64.2.b,22375348,https://openalex.org/W2055957252
False,,,https://doi.org/10.1071/bi9790561,232981,https://openalex.org/W2433368754
False,,,https://doi.org/10.3171/jns.1996.85.3.0476,8751635,https://openalex.org/W2145126747
False,,,https://doi.org/10.1016/s0022-3956(98)00006-5,9694002,https://openalex.org/W2006287063
False,,,https://doi.org/10.1248/yakushi.122.995,12440157,https://openalex.org/W2120261860
False,,,https://doi.org/10.3892/br.2015.491,26405539,https://openalex.org/W2096812467
False,,,,885597,https://openalex.org/W2409036800
False,,,https://doi.org/10.1371/journal.pone.0079817,24223197,https://openalex.org/W2083761546
False,,,https://doi.org/10.1080/13554790600646995,16801154,https://openalex.org/W1993414371
False,,,https://doi.org/10.7589/2012-10-269,23778620,https://openalex.org/W2007098231
False,,,https://doi.org/10.1177/030089167706300204,898285,https://openalex.org/W2401340688
False,,,https://doi.org/10.1016/0742-8413(95)02018-7,8788593,https://openalex.org/W2044423447
False,,,https://doi.org/10.2147/ndt.s44519,23836976,https://openalex.org/W2091385387
False,,,https://doi.org/10.11646/zootaxa.3646.5.6,26213781,https://openalex.org/W2012933869
False,,,https://doi.org/10.1152/ajpheart.1983.244.1.h46,6295189,https://openalex.org/W50230542
False,,,https://doi.org/10.1073/pnas.0803558105,18523004,https://openalex.org/W2164455007
False,,,https://doi.org/10.1113/jphysiol.2004.074930,15513941,https://openalex.org/W2109313989
False,,,https://doi.org/10.1016/0741-8329(95)00062-3,8888949,https://openalex.org/W2074991868
False,,,https://doi.org/10.1371/journal.pbio.0040251,16834460,https://openalex.org/W2090861392
True,,,,,https://openalex.org/W2188415357
False,,,https://doi.org/10.1080/07357909909011714,10999046,https://openalex.org/W2161598622
True,,,https://doi.org/10.1111/j.1601-5215.2010.00512.x,25379693,https://openalex.org/W2162145283
False,,,https://doi.org/10.1002/eji.1830070505,872867,https://openalex.org/W1998166755
False,,,,6747228,https://openalex.org/W2413473655
False,,,https://doi.org/10.1016/0024-3205(75)90514-7,1160499,https://openalex.org/W2091934111
False,,,https://doi.org/10.1038/nn.2601,20657592,https://openalex.org/W2159586025
False,,,https://doi.org/10.1007/978-3-7091-0956-4_72,22327726,https://openalex.org/W2099670874
False,,,https://doi.org/10.1159/000137300,,https://openalex.org/W1985186930
True,,,https://doi.org/10.1016/j.physbeh.2013.06.009,23770328,https://openalex.org/W1998504763
False,,,,8371139,https://openalex.org/W2305100815
False,,,https://doi.org/10.1007/978-1-4684-4472-8_21,6307008,https://openalex.org/W233744408
False,,,,2240785,https://openalex.org/W1651130904
False,,,,1270104,https://openalex.org/W2407860112
False,,,https://doi.org/10.3181/00379727-133-34607,5435592,https://openalex.org/W2313366855
True,,,https://doi.org/10.1111/bcpt.12489,26381433,https://openalex.org/W1903884186
False,,,https://doi.org/10.1093/jac/3.suppl_c.53,340446,https://openalex.org/W2319462692
