include,title,abstract,first_author,year,journal,doi,pubmed_id,authors,pubmed_type,publication_types,mesh,webofscience_id,central_id,openalex_id,title_length,title_word_count,title_sentence_count,abstract_length,abstract_word_count,abstract_sentence_count
false,evaluation of individual subjects in the analog classroom setting: ii. effects of dose of amphetamine (adderall).,"multiple dependent variables were graphed for 29 subjects who participated in a double-blind evaluation of 4 doses of adderall, plus positive (methylphenidate) and placebo control conditions. five judges ranked the conditions for each subject, and analyses of individual subjects indicated that these rankings were concordant (reliable) across judges. consensus rankings were assigned to each subject, and an analysis of these ranks showed that the conditions differed significantly. the choice of best conditions were judged to be across 3 doses of adderall (10, 15, and 20 mg). this confirms the clinical impression of individual differences in optimal dose of stimulant medication. the methodological, graphical, and statistical methods presented in this article provide a systematic, reliable procedure for evaluating relative response of individuals to different doses of stimulant medication.",Wigal SB,1998,Psychopharmacol Bull,,10513460,Wigal SB; Swanson JM; Greenhill L; Waslick B; Cantwell D; Clevenger W; Davies M; Lerner M; Regino R; Fineberg E; Baren M; Browne R,article,D016430: Clinical Trial; D016428: Journal Article; D016449: Randomized Controlled Trial,D000661: Amphetamine; D001289: Attention Deficit Disorder with Hyperactivity; D000697: Central Nervous System Stimulants; D002648: Child; D018592: Cross-Over Studies; D003626: Data Display; D004311: Double-Blind Method; D006801: Humans; D015588: Observer Variation; D012107: Research Design,,,https://openalex.org/W47048920,113,21,2,898,147,6
false,treatment of depression in patients with heart disease.,"patients with depression are more likely than patients without depression to develop ischemic heart disease and suffer cardiac-related death. recent evidence suggests that the association between depression and increased cardiac mortality may in part be due to an increase in platelet activity and an imbalance in sympathetic and parasympathetic activity that makes the patient more susceptible to ventricular fibrillation. available data suggest that the tricyclic antidepressants (tcas) may increase the risk of mortality in patients with ischemic heart disease. three studies with the selective serotonin reuptake inhibitors (ssris), including a double-blind, randomized comparison of paroxetine with nortriptyline, support the conclusion that the ssris have a relatively benign cardiovascular profile. therefore, they are preferable to the tcas for treatment of depression in patients at risk for cardiac events. additional studies are needed to definitively establish the cardiovascular safety of the ssris.",Roose SP,1999,J Clin Psychiatry,,10513857,Roose SP; Spatz E,article,D016428: Journal Article; D016454: Review,"D018687: Antidepressive Agents, Second-Generation; D000929: Antidepressive Agents, Tricyclic; D016642: Bupropion; D015897: Comorbidity; D003645: Death, Sudden; D003866: Depressive Disorder; D004311: Double-Blind Method; D006327: Heart Block; D006331: Heart Diseases; D006801: Humans; D007024: Hypotension, Orthostatic; D017202: Myocardial Ischemia; D009661: Nortriptyline; D017374: Paroxetine; D016032: Randomized Controlled Trials as Topic; D012307: Risk Factors; D017367: Selective Serotonin Reuptake Inhibitors; D014693: Ventricular Fibrillation",,,https://openalex.org/W1900488432,55,9,1,1012,154,6
false,pharmacological treatment of depression. consulting with dr oscar.,"objective: to review the pharmacological treatment of depression and to evaluate current strategies for treatment to maximize the benefits of antidepressant medications.
quality of evidence: medline was searched to january 1999, using the headings depression, combination, augmentation, lithium, triiodothyronine, pindolol, buspirone, methylphenidate, and electroconvulsive therapy, for randomized controlled trials, systematic overviews, and consensus reports. recent high-quality reviews were often found. references from papers retrieved were scrutinized for other relevant reports. preference was given to more recent articles and well-designed studies. recommendations from academic groups were analyzed.
main message: optimization of antidepressant therapy is the cornerstone of pharmacological treatment of depression. when symptoms persist despite optimization, further strategies include substitution, combination, augmentation, and reviewing and sometimes referring. decisions are based on the evidence supporting the various strategies.
conclusions: antidepressants will work only if prescribed correctly. awareness of the strategies for using antidepressants and evaluating their effectiveness improves primary care physicians' ability to treat this common disorder.",Berber MJ,1999,Can Fam Physician,,10587774,Berber MJ,article,D016428: Journal Article; D016454: Review,"D000928: Antidepressive Agents; D003866: Depressive Disorder; D004359: Drug Therapy, Combination; D006801: Humans; D016032: Randomized Controlled Trials as Topic; D012017: Referral and Consultation; D016896: Treatment Outcome",,,,66,10,2,1281,187,11
false,[adverse hemodynamic changes during laparoscopic cholecystectomy and their possible suppression with clonidine premedication. comparison with intravenous and intramuscular premedication].,"laparoscopic cholecystectomies have adverse haemodynamic effects which limit their use in risk patients with heart disease. this applies in particular to significant hypertension. the etiology is analysed in detail in a review of the literature. the authors confirmed in their work involving 21 patients the incidence of these effects and tried to suppress them by premedication with clonidine (catapresan, boehringer). 21 patients were given 0.15 mg clonidine in an infusion 15 minutes before operation and 21 patients 0.15 mg clonidine by the i.m. route 60-90 min. before operation. standard anaesthesia was administered. a highly significant drop in the incidence of hypertension was recorded during operation for systolic pressure (p < 0.001) after both ways of administration, as well as of diastolic pressure (p < 0.01 for intravenous and p < 0.05 for intramuscular premedication). premedication with intravenous clonidine can be recommended as a routine procedure before laparoscopic cholecystectomies.",Málek J,1999,Rozhl Chir,,10596559,Málek J; Knor J; Kurzová A; Lopourová M,article,"D016430: Clinical Trial; D003160: Comparative Study; D018848: Controlled Clinical Trial; D004740: English Abstract; D016428: Journal Article; D013485: Research Support, Non-U.S. Gov't","D000316: Adrenergic alpha-Agonists; D000328: Adult; D000368: Aged; D000959: Antihypertensive Agents; D017081: Cholecystectomy, Laparoscopic; D003000: Clonidine; D005260: Female; D006801: Humans; D006973: Hypertension; D007273: Injections, Intramuscular; D007275: Injections, Intravenous; D008297: Male; D008875: Middle Aged; D011292: Premedication",,,https://openalex.org/W38821784,187,23,2,1009,166,10
false,medication continuation and compliance: a comparison of patients treated with clozapine and haloperidol.,"this study compares medication continuation and regimen compliance with the atypical antipsychotic medication clozapine versus the conventional antipsychotic haloperidol.data from a 15-site double-blind, randomized clinical trial (n = 423) were used to compare patients with dsm-iii-r schizophrenia assigned to clozapine or haloperidol in terms of duration of participation while taking the randomly assigned study drug (continuation) and the proportion of prescribed pills that were taken (compliance). multiple regression analysis was used to determine the relationship of baseline characteristics and measures of clinical change to continuation for the entire sample and for patients assigned to each medication.patients assigned to clozapine continued taking the study drug for a mean of 35.5 weeks as compared with only 27.2 among patients assigned to haloperidol (f = 4.45, df = 1,422; p = .0001). no differences were found between the groups in the proportion of prescribed pills that were returned at any timepoint. among patients assigned to haloperidol, poorer continuation was associated with being older and greater continuation with receiving public support. among patients on clozapine treatment, continuation was poorer among african american patients and greater among patients who showed reduced clinical symptoms and akathisia. continuation with clozapine was greater even after adjusting for these factors.continuation with medication is greater with clozapine than haloperidol and is partly explained by greater symptom improvement and reduced side effects. no differences were found in regimen compliance.",Rosenheck R,2000,J Clin Psychiatry,,10847315,Rosenheck R; Chang S; Choe Y; Cramer J; Xu W; Thomas J; Henderson W; Charney D,article,"D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article; D016449: Randomized Controlled Trial; D013486: Research Support, U.S. Gov't, Non-P.H.S.",D000328: Adult; D001741: Black or African American; D014150: Antipsychotic Agents; D003024: Clozapine; D004311: Double-Blind Method; D004334: Drug Administration Schedule; D005260: Female; D005500: Follow-Up Studies; D006220: Haloperidol; D006801: Humans; D008297: Male; D010349: Patient Compliance; D010352: Patient Dropouts; D012044: Regression Analysis; D012559: Schizophrenia; D016896: Treatment Outcome; D016312: Treatment Refusal; D015430: Weight Gain,,,https://openalex.org/W2048123560,104,15,1,1626,248,7
false,managing adhd in general practice. n of 1 trials can help!,"to pilot single patient trials designed to improve decision making about stimulant use for attention deficit hyperactivity disorder (adhd) in general practice.patients previously stabilised on dexamphetamine were enrolled from a general practice. each undertook a six week same patient randomised, double blind, placebo controlled crossover comparison of dexamphetamine with placebo for adhd. rating scales were completed weekly by self, parent and teacher.three of the four patients were clear responders to dexamphetamine (including a noncompleter, as his results still demonstrated a clear response). the results were clinically useful in each case. management was confirmed for three patients and changed for one (who ceased dexamphetamine).prescribing stimulant medications only to children with diagnosed adhd and who are found to respond, limits use of these worrisome drugs to those who will respond, and minimises their use in those who will not benefit.",Duggan CM,2000,Aust Fam Physician,,11140235,Duggan CM; Mitchell G; Nikles CJ; Glasziou PP; Del Mar CB; Clavarino A,article,"D002363: Case Reports; D016430: Clinical Trial; D016428: Journal Article; D016449: Randomized Controlled Trial; D013485: Research Support, Non-U.S. Gov't",D000293: Adolescent; D001289: Attention Deficit Disorder with Hyperactivity; D000697: Central Nervous System Stimulants; D002648: Child; D018592: Cross-Over Studies; D003913: Dextroamphetamine; D004311: Double-Blind Method; D005194: Family Practice; D006801: Humans; D008297: Male,,,https://openalex.org/W1527279017,58,13,2,963,156,5
false,"[incidence of extrapyramidal symptoms during treatment with olanzapine, haloperidol and risperidone: results of an observational study].","to analyze the incidence of extrapyramidal symptoms (eps) and the concomitant use of anticholinergic drugs in outpatients diagnosed of schizophrenia treated with olanzapine (olz) in comparison with haloperidol (hal) and risperidone (ris) under routine clinical practice conditions.the analysis was carried out on the basis of the information obtained in the efeso study, an observational, prospective study carried out in outpatients diagnosed of schizophrenia and treated with olanzapine compared to other antipsychotic agents used in the clinical practice. the incidence of eps in the olz treated group compared to the haloperidol and risperidone treatment groups in which over 100 patients were included is analyzed in the present work. the study duration was 6 months and the data were collected by 293 psychiatrists from mental health care areas.the percentage of patients who presented at least one adverse event (ae) (p 3/4 0.001) was less in the olz groups (47.8%) compared to those of the hal (79.8%) and ris (57.2%) subgroups. a lower percentage of patients treated with olz (36.9%) presented eps in comparison to the ris (49.6%) and hal (76%) subgroups (p 3/4 0.001). a lower rate of patients from the olz group (10.2%) received anticholinergic treatments compared to the ris (19.9%) and hal (44%) subgroups (p< 0.001 in both cases).olz-treated patients presented a lower incidence of eps and required less anticholinergic treatment than the hal and ris treated patients. these results, obtained in naturalistic conditions, coincide with the conclusions reached in randomized clinical trials carried out prior to the marketing of olz.",Sacristán JA,2001,Actas Esp Psiquiatr,,11333516,Sacristán JA; Gómez JC; Ferre F; Gascón J; Pérez Bravo A; Olivares JM,article,D016428: Journal Article,"D000328: Adult; D000553: Ambulatory Care; D000704: Analysis of Variance; D014150: Antipsychotic Agents; D001569: Benzodiazepines; D004359: Drug Therapy, Combination; D020820: Dyskinesias; D005260: Female; D006220: Haloperidol; D006801: Humans; D008297: Male; D000077152: Olanzapine; D010349: Patient Compliance; D010890: Pirenzepine; D011446: Prospective Studies; D018967: Risperidone; D012559: Schizophrenia",,,https://openalex.org/W159075688,136,21,1,1645,306,6
false,"[therapies for smoking cessation (antidepressants, nicotine-replacement and counseling) and implications for the treatment of patients with chronic obstructive pulmonary disease].","only a small percentage of smokers who state they want to stop smoking in the next half year, succeed in doing so. this is not only due to the addictive nature of smoking cigarettes, but also because of psychological and social factors. approximately 80% of the people who have used nicotine-replacement therapy return to smoking after some time. therefore, the interest in non-nicotine pharmacotherapy has increased considerably in recent years. the antidepressants bupropion and nortriptyline are, compared to a placebo, particularly effective smoking cessation aids (relative risk (rr)nortriptyline: 2.7; 95% ci: 1.3-5.3; rrbupropion: 1.5; 95% ci: 1.1-2.6). a combined strategy of nicotine-replacement therapy with counselling or antidepressants (bupropion or nortriptyline) with counselling, in which the physiological as well as the psychological aspects of smoking cessation are treated, seems to be the most effective. although smoking cessation is seen as the single most important way of preventing a further deterioration of the lung function at all stages of chronic obstructive pulmonary disease (copd), little research has been conducted amongst copd patients. especially the use of the antidepressants bupropion or nortriptyline seems particularly interesting for the treatment of patients with copd. this is not only because smoking cigarettes is the major risk factor for the development of the disease, but also because copd patients have a higher than normal prevalence of depression. furthermore, an association has been found between smoking cigarettes and depression, and the presence of depression or depressive symptoms appears to be an important cause of relapse.",Wagena EJ,2001,Ned Tijdschr Geneeskd,,11512420,Wagena EJ; Huibers MJ; van Schayck CP,article,D016428: Journal Article; D016454: Review,"D000279: Administration, Cutaneous; D000928: Antidepressive Agents; D003131: Combined Modality Therapy; D003376: Counseling; D006801: Humans; D008173: Lung Diseases, Obstructive; D009538: Nicotine; D018722: Nicotinic Agonists; D016032: Randomized Controlled Trials as Topic; D055502: Secondary Prevention; D012907: Smoking; D016540: Smoking Cessation; D000074606: Smoking Prevention",,,https://openalex.org/W106464869,179,26,1,1687,287,10
false,use of the medication event monitoring system to estimate medication compliance in patients with schizophrenia.,"to determine the feasibility of using the medication event monitoring system (mems) to estimate medication compliance in patients with schizophrenia or schizoaffective disorder.fourteen of 35 consecutive patients admitted to a psychiatric inpatient hospital with schizophrenia or schizoaffective disorder who met eligibility requirements and gave informed consent.after random assignment to either risperidone or typical antipsychotic treatment, medication upon discharge from hospital was dispensed in a bottle with a mems cap which recorded the number of bottle openings and the date and time of each opening. the first 6 patients were asked to return monthly for data downloading. the next 8 were asked to return weekly during the first month and every 2 weeks thereafter; they were also paid $5 for returning each bottle.mems data collected over a 6-month period and hospital readmission data.patient medication compliance data were collected from 10 (71%) of 14 patients during the first month, from 7 (58%) of 12 (2 patients dropped out) during the second and from 5 (45%) of 11 (a third patient dropped out) during months 3-6. mean compliance rates were 63% for the first month and ranged from 56% to 45% over the next 5. first-month compliance rates were significantly lower for those who were subsequently readmitted to hospital (n = 7) than for those who were not (p < 0.01).electronic monitoring devices can be used to estimate compliance with medication regimens in patients with severe schizophrenic disorders, but there are methodological improvements that can be made to increase data recovery and compliance, and these are discussed.",Diaz E,2001,J Psychiatry Neurosci,,11590972,Diaz E; Levine HB; Sullivan MC; Sernyak MJ; Hawkins KA; Cramer JA; Woods SW,article,"D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article; D016449: Randomized Controlled Trial; D013485: Research Support, Non-U.S. Gov't; D013487: Research Support, U.S. Gov't, P.H.S.",D000328: Adult; D014150: Antipsychotic Agents; D016903: Drug Monitoring; D004349: Drug Packaging; D005260: Female; D006801: Humans; D008297: Male; D008875: Middle Aged; D010349: Patient Compliance; D010359: Patient Readmission; D011618: Psychotic Disorders; D018967: Risperidone; D012559: Schizophrenia; D012646: Self Administration; D016312: Treatment Refusal,,,https://openalex.org/W2291231306,111,16,1,1649,288,5
false,[usefulness of olanzapine in the levodopa-induced psychosis in patients with parkinson's disease].,"to evaluate the antipsychotic efficacy of olanzapine (olz) in patients with parkinson's disease (pd) and drug-induced psychosis (dip) and its repercussion on the motor function.ten patients (5 women and 5 men) diagnosed of pd and dip, aged 67 years (range: 50-81), with pd duration of 11.1 years (range: 6-23), treated chronically with levodopa per day, received a dose of 2.5 or 5.0 mg olz daily. data concerning improvement of psychosis and worsening of motor function was based on positive and negative symptoms scale (panss) and unified parkinsons disease rating scale (updrs) motor.psychotic symptoms were improved in all patients. in most of them the improvement was almost total. seven patients increased levodopa dose on olz, but significant worsening of motor function was reported just in one patient. none of the patients had agranulocytosis in the blood monitoring. two patients presented weight gain. seven patients improved their cognitive status.we conclude that olz at the doses studied may have efficacy for dip which appears in pd and does not induce worsening of motor function in most of the patients.",Chacón JR,2002,Neurologia,,11834192,Chacón JR; Durán E; Durán JA; Alvarez M,article,D016430: Clinical Trial; D018848: Controlled Clinical Trial; D016428: Journal Article,"D000368: Aged; D000369: Aged, 80 and over; D000978: Antiparkinson Agents; D014150: Antipsychotic Agents; D001569: Benzodiazepines; D005260: Female; D006801: Humans; D007980: Levodopa; D008297: Male; D008875: Middle Aged; D000077152: Olanzapine; D010300: Parkinson Disease; D010890: Pirenzepine; D011446: Prospective Studies; D011605: Psychoses, Substance-Induced",,,https://openalex.org/W1006836439,98,16,1,1121,207,7
