include,title,abstract,first_author,year,journal,doi,pubmed_id,authors,pubmed_type,publication_types,mesh,webofscience_id,central_id,openalex_id,title_length,title_word_count,title_sentence_count,abstract_length,abstract_word_count,abstract_sentence_count
false,economic outcomes associated with the use of risperidone in a naturalistic group practice setting.,"the purpose of this cohort pilot study was to compare the resource utilization and economic outcomes associated with the use of risperidone versus haloperidol in a naturalistic setting. patient charts from a large psychiatric group practice were reviewed, and hospital billing data were obtained. patients meeting the inclusion criteria were placed into one of two cohorts depending on their medication history. thirty patients treated with risperidone met the selection criteria, and a random quota sampling technique was used to allow for a matched control cohort of 30 patients treated with haloperidol. in the haloperidol and risperidone cohorts, 24 and 28 patients, respectively, were evaluated statistically. mean utilization rates and costs per patient per month for each service were estimated by using regression analysis. patients in the risperidone cohort had significantly fewer hospitalizations than did those in the haloperidol cohort (p = 0.004). likewise, risperidone patients had significantly lower hospitalization costs than haloperidol patients (p = 0.005). conversely, patients treated with risperidone visited the physician more frequently than did those treated with haloperidol (p = 0.0005). estimated mean total monthly costs were $123.34 lower (95% confidence interval = $464, $217) per patient in the risperidone cohort than in the haloperidol cohort ($1,636.11 vs $1759.45; p = 0.4693). significant reductions in hospital costs in the risperidone cohort offset higher medication and physician costs. overall, total monthly costs were similar for the two cohorts.",Nightengale BS,1998,Am J Manag Care,,10178498,Nightengale BS; Garrett L; Waugh S; Lawrence BJ; Andrus J,article,"D016428: Journal Article; D013485: Research Support, Non-U.S. Gov't","D014150: Antipsychotic Agents; D015331: Cohort Studies; D006123: Group Practice; D006801: Humans; D001523: Mental Disorders; D017063: Outcome Assessment, Health Care; D010865: Pilot Projects; D018967: Risperidone; D014481: United States; D014600: Utilization Review",,,https://openalex.org/W2406007387,98,15,1,1590,269,12
false,the effects of clozapine on cognitive functioning in schizophrenia.,"cognitive function may be markedly impaired in patients with schizophrenia; however, it has only recently been recognized as an important factor in determining patient outcome. research has shown that improvements in cognitive functioning occur independently of improvements in positive or negative clinical symptoms, and whereas typical antipsychotics may improve clinical symptoms, they have little or no efficacy in improving cognitive dysfunction. however, there is evidence that the atypical antipsychotic clozapine may improve this core deficit of schizophrenia. this review summarizes 12 published studies that assessed the effect of clozapine on cognitive functioning. as a group, these studies suggest that psychomotor speed, verbal fluency, and verbal learning and memory may be improved by treatment with clozapine. such cognitive improvements with clozapine treatment may offer an advantage to patients with schizophrenia by enhancing the possibility of better vocational functioning and quality of life.",McGurk SR,1999,J Clin Psychiatry,,10372607,McGurk SR,article,D016428: Journal Article; D016454: Review,D014150: Antipsychotic Agents; D002986: Clinical Trials as Topic; D003024: Clozapine; D003071: Cognition; D003072: Cognition Disorders; D006801: Humans; D008568: Memory; D009483: Neuropsychological Tests; D012559: Schizophrenia; D012565: Schizophrenic Psychology; D014706: Verbal Learning; D014796: Visual Perception,,,https://openalex.org/W2288023518,67,10,1,1016,155,6
false,"comparison of the efficacy and acceptability of atypical antipsychotic drugs: a meta-analysis of randomized, placebo-controlled trials.","knowing the clinical differences of olanzapine, quetiapine, and risperidone would be of benefit for choosing an atypical antipsychotic drug. in order to compare their efficacy and acceptability, we conducted a meta-analysis of published, randomized, placebo-controlled trials by comparing the response and dropout rates of an atypical antipsychotic drug group and those of a placebo group. after a comprehensive search of study reports, the response and dropout rates of patients treated with an atypical antipsychotic drug and those treated with placebo were extracted on the intention-to-treat basis. the effect size with 95 per cent confidence interval (ci) of pooled data comparing the response and dropout rates of an atypical antipsychotic drug group and those of a placebo group were calculated by using the peto method. the response-rate effect sizes (95% cis) of olanzapine, quetiapine, and risperidone were 1.75 (1.06 to 2.89), 1.71 (1.20 to 2.42), and 3.28 (1.98 to 5.44), respectively. the dropout-rate effect sizes (95% cis) of olanzapine, quetiapine, and risperidone were 0.55 (0.35 to 0.88), 0.65 (0.46 to 0.91), and 0.39 (0.24 to 0.62), respectively. in conclusion, olanzapine, quetiapine, and risperidone are more effective and more acceptable than placebo in treating schizophrenic patients. however, they are not different from each other in the respect of efficacy and acceptability. the cost of these agents should play an important role in choosing an atypical antipsychotic drug.",Srisurapanont M,1999,J Med Assoc Thai,,10410494,Srisurapanont M; Maneeton N,article,D003160: Comparative Study; D016428: Journal Article; D017418: Meta-Analysis,D014150: Antipsychotic Agents; D001569: Benzodiazepines; D016009: Chi-Square Distribution; D016001: Confidence Intervals; D003987: Dibenzothiazepines; D006801: Humans; D016017: Odds Ratio; D000077152: Olanzapine; D010890: Pirenzepine; D000069348: Quetiapine Fumarate; D016032: Randomized Controlled Trials as Topic; D018967: Risperidone; D012559: Schizophrenia; D016896: Treatment Outcome,,,https://openalex.org/W73750916,135,19,1,1502,274,9
false,[early phase ii study of quetiapine fumarate on schizophrenia].,"the efficacy and safety of quetiapine fumurate in the treatment of patients with schizophrenia were evaluated in an 8-week, multicenter, open-label study. the results of this study which included a total of 54 patients showed good efficacy and safety profile for quetiapine fumarate as seen by the improvement rate (moderate or above in the final global improvement rating) of 49.1% and safety rate (no problem in overall safety rating) of 66.0%. the mean bprs total score decreased significantly from 55.5 +/- 10.9 points at baseline to 45.4 +/- 13.0 points at the completion of administration. the panss scores also showed significant improvement on all scales; the mean scores decreased from 20.7 +/- 6.3 points at baseline to 17.7 +/- 6.9 points at withdrawal or completion of administration on the positive scale, from 27.8 +/- 5.8 points to 24.0 +/- 7.3 points on the negative scale, and from 51.4 +/- 10.1 points to 44.7 +/- 12.4 points on the general psychopathology scale. although the most frequent adverse reactions were somnolence (18.9%), insomnia (17.0%), nervousness (13.2%), dizziness (13.2%), malaise (13.2%), postural hypotension (11.3%), tachycardia (9.4%), and constipation (9.4%), the incidence of extrapyramidal symptoms was low (11.3%). from these results, quetiapine fumarate was suggested to be highly effective and safe for the treatment of schizophrenia.",Murasaki M,1999,Nihon Shinkei Seishin Yakurigaku Zasshi,,10464776,Murasaki M; Yamauchi T; Yagi G; Nakajima T; Nakane Y; Kudo Y,article,"D016430: Clinical Trial; D017427: Clinical Trial, Phase II; D004740: English Abstract; D016428: Journal Article; D016448: Multicenter Study",D000328: Adult; D000368: Aged; D014150: Antipsychotic Agents; D001007: Anxiety; D003987: Dibenzothiazepines; D004244: Dizziness; D005260: Female; D006801: Humans; D008297: Male; D008875: Middle Aged; D011569: Psychiatric Status Rating Scales; D000069348: Quetiapine Fumarate; D012559: Schizophrenia; D012893: Sleep Wake Disorders; D016896: Treatment Outcome,,,https://openalex.org/W2442260950,63,12,1,1381,265,6
false,[clinical efficacy of olanzapine].,"the treatment of schizophrenic patients who fail adequate trials of typical neuroleptics is a major challenge. for these patients, the availability of atypical antipsychotics is a useful therapeutic advance. olanzapine shows a superior and broader spectrum of efficacy in the treatment of schizophrenia, particularly its negative symptoms, with a substantially more favorable safety profile than conventional antipsychotic agents (e.g., haloperidol). however, little information on the clinical effects of olanzapine is available in japan. this article provides information on the efficacy of olanzapine for various symptoms of schizophrenic patients and drug safety. olanzapine is significantly superior to haloperidol in positive, negative, and depressive symptoms of patients, and for tardive dyskinesia and extrapyramidal symptoms. significantly greater improvement in avolition-apathy is achieved with olanzapine as compared to risperidone. these advantages are related to high affinity at the 5-ht2 binding site, no association with an alteration in dopamine a9 firing rates, and lower d2 striatal receptor blockade of olanzapine. treatment with 10 mg/day olanzapine is more appropriate for positive symptoms, and 12.5-17.5 mg/day olanzapine is more effective for negative symptoms. patients will need help adapting to a new level of functioning after a successful switch to olanzapine, and overcoming the disappointment that eventually occurs when the limitations of olanzapine become apparent.",Yui K,1999,Nihon Shinkei Seishin Yakurigaku Zasshi,,10495984,Yui K,article,D003160: Comparative Study; D016428: Journal Article; D016454: Review,D014150: Antipsychotic Agents; D001569: Benzodiazepines; D001665: Binding Sites; D002986: Clinical Trials as Topic; D003024: Clozapine; D065127: Dopamine D2 Receptor Antagonists; D006220: Haloperidol; D006801: Humans; D000077152: Olanzapine; D010890: Pirenzepine; D018967: Risperidone; D012559: Schizophrenia; D012565: Schizophrenic Psychology; D055502: Secondary Prevention; D012701: Serotonin,,,https://openalex.org/W2414118720,34,7,1,1501,231,10
false,[economic comparison of olanzapine versus haloperidol in treatment of schizophrenia in france].,"the purpose of this study is to provide an economic comparison of olanzapine-treated and haloperidol-treated patients from the subset of french patients who participated in a large, international, randomised clinical trial in schizophrenia.patients were evaluated from randomisation until discontinuation, drop out or completion of the 52-week study. the primary clinical measure was ""clinically important response"" (derived from bprs total scores). the secondary measure was ""clinically important improvement"" (derived from cgi severity of illness scores). the primary economic measure was mean per diem, per patient total direct medical costs.a total of 275 french patients where included in the study. demographics and other baseline differences between olanzapine- and haloperidol-treated patients were not statistically significant. olanzapine-treated patients (205 +/- 142 days) experienced significantly (p < 0.001) longer evaluation periods than haloperidol-treated patients (132 +/- 129 days). olanzapine-treated patients (54%) were significantly (p = 0.03) more likely to experience a clinically important response than haloperidol-treated patients (40%). olanzapine-treated patients (69%) were significantly (p = 0.02) more likely to experience clinically important improvement than haloperidol-treated patients (54%). the mean per diem, per patient total direct medical cost was statistically lower (p = 0.033) for olanzapine-treated patients (ff619 +/- 509) compared to haloperidol-treated patients (ff756 +/- 478).olanzapine treatment was associated with significantly better clinical outcomes and per diem total direct medical cost than haloperidol treatment. the findings indicate that olanzapine is dominant compared to haloperidol for the treatment of schizophrenia, in the context of analysed data. these findings produce increased relevance in france to the existing evidence supporting olanzapine's cost and effectiveness profiles.",Le Pen C,1999,Encephale,,10546082,Le Pen C; Lilliu H; Allicar MP; Olivier V; Gregor KJ,article,D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article; D016448: Multicenter Study; D016449: Randomized Controlled Trial,D000328: Adult; D014150: Antipsychotic Agents; D001569: Benzodiazepines; D003362: Cost-Benefit Analysis; D004311: Double-Blind Method; D005260: Female; D005602: France; D006220: Haloperidol; D006801: Humans; D008297: Male; D008875: Middle Aged; D009313: National Health Programs; D000077152: Olanzapine; D010348: Patient Care Team; D010890: Pirenzepine; D011569: Psychiatric Status Rating Scales; D012017: Referral and Consultation; D012559: Schizophrenia,,,https://openalex.org/W2409313665,95,15,1,1952,312,11
true,blood dyscrasias in clozapine-treated patients in italy.,"clozapine is a dibenzodiazepine derivative that is more effective than standard neuroleptic drugs in refractory schizophrenic patients, but its introduction in some countries was delayed by its propensity to cause blood dyscrasias. however, over the last ten years, different reports have clearly demonstrated that agranulocytosis and neutropenia can be easily prevented by means of strict hematologic surveillance. this article reviews the results of the first five years of the italian clozapine monitoring system (iclos).the hematologic parameters of 2,404 patients registered between 1995 and 1999 were collected in a central database, before the patients began clozapine-treatment, weekly for the first 18 weeks, and then monthly throughout the duration of therapy. on the basis of conventional criteria, different risk levels have been identified with total leukocyte <3. 0x10(9)/l and/or an absolute neutrophil count <1.5x10(9)/l leading to immediate discontinuation of the drug.the analysis shows that 0.9% of the patients developed neutropenia and 0.7% agranulocytosis, mainly during the first 18 weeks of clozapine treatment. drug discontinuation led to the normalization of hematologic parameters in all cases, and the use of growth factors reduced the risk of infectious complications. transient leukocytosis and eosinophilia were also observed but these did not have any serious clinical effects.the iclos study confirms that regular hematologic monitoring is highly effective in minimizing the incidence of clozapine-associated blood dyscrasias. the lower than initially expected rates of agranulocytosis and associated deaths are encouraging in view of the benefits of this drug in treatment-resistant schizophrenia and other neurologic disorders.",Lambertenghi Deliliers G,2000,Haematologica,,10702809,Lambertenghi Deliliers G,article,D016428: Journal Article,D000328: Adult; D000380: Agranulocytosis; D014150: Antipsychotic Agents; D003024: Clozapine; D004802: Eosinophilia; D005260: Female; D018756: GABA Antagonists; D016179: Granulocyte Colony-Stimulating Factor; D006801: Humans; D015994: Incidence; D007558: Italy; D007964: Leukocytosis; D008297: Male; D008875: Middle Aged; D009503: Neutropenia; D010265: Paraproteinemias; D012189: Retrospective Studies; D012307: Risk Factors; D012559: Schizophrenia; D012702: Serotonin Antagonists; D013921: Thrombocytopenia,,,https://openalex.org/W2143333002,56,8,1,1762,278,8
false,"eicosapentaenoic acid treatment in schizophrenia associated with symptom remission, normalisation of blood fatty acids, reduced neuronal membrane phospholipid turnover and structural brain changes.","the administration of the omega-3 fatty acid eicosapentaenoic acid (epa) to a drug-naive patient with schizophrenia, untreated with conventional antipsychotic medication, led to a dramatic and sustained clinical improvement in both positive and negative symptoms. this was accompanied by a correction in erythrocyte membranes of abnormalities in both n-3 and n-6 highly unsaturated fatty acids and with reduced neuronal membrane phospholipid turnover, as evidenced by serial 31-phosphorus cerebral magnetic resonance spectroscopy. using recently developed techniques of image segmentation, subvoxel registration and quantitation, analysis of serial high-resolution 3d cerebral mri scans showed that, in the year before epa treatment, cerebral atrophy was taking place and that this atrophy was reversed by six months of epa treatment. these results demonstrate that epa can reverse both the phospholipid abnormalities previously described in schizophrenia and cerebral atrophy. they provide strong further evidence in support of the membrane phospholipid model of schizophrenia.",Puri BK,2000,Int J Clin Pract,,10750263,Puri BK; Richardson AJ; Horrobin DF; Easton T; Saeed N; Oatridge A; Hajnal JV; Bydder GM,article,D002363: Case Reports; D016428: Journal Article,D000328: Adult; D001095: Arachidonic Acids; D015415: Biomarkers; D001927: Brain Diseases; D004281: Docosahexaenoic Acids; D015118: Eicosapentaenoic Acid; D004910: Erythrocyte Membrane; D006801: Humans; D008279: Magnetic Resonance Imaging; D009682: Magnetic Resonance Spectroscopy; D008297: Male; D010743: Phospholipids; D012559: Schizophrenia,,,https://openalex.org/W64251504,197,26,1,1078,161,5
false,medication continuation and compliance: a comparison of patients treated with clozapine and haloperidol.,"this study compares medication continuation and regimen compliance with the atypical antipsychotic medication clozapine versus the conventional antipsychotic haloperidol.data from a 15-site double-blind, randomized clinical trial (n = 423) were used to compare patients with dsm-iii-r schizophrenia assigned to clozapine or haloperidol in terms of duration of participation while taking the randomly assigned study drug (continuation) and the proportion of prescribed pills that were taken (compliance). multiple regression analysis was used to determine the relationship of baseline characteristics and measures of clinical change to continuation for the entire sample and for patients assigned to each medication.patients assigned to clozapine continued taking the study drug for a mean of 35.5 weeks as compared with only 27.2 among patients assigned to haloperidol (f = 4.45, df = 1,422; p = .0001). no differences were found between the groups in the proportion of prescribed pills that were returned at any timepoint. among patients assigned to haloperidol, poorer continuation was associated with being older and greater continuation with receiving public support. among patients on clozapine treatment, continuation was poorer among african american patients and greater among patients who showed reduced clinical symptoms and akathisia. continuation with clozapine was greater even after adjusting for these factors.continuation with medication is greater with clozapine than haloperidol and is partly explained by greater symptom improvement and reduced side effects. no differences were found in regimen compliance.",Rosenheck R,2000,J Clin Psychiatry,,10847315,Rosenheck R; Chang S; Choe Y; Cramer J; Xu W; Thomas J; Henderson W; Charney D,article,"D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article; D016449: Randomized Controlled Trial; D013486: Research Support, U.S. Gov't, Non-P.H.S.",D000328: Adult; D001741: Black or African American; D014150: Antipsychotic Agents; D003024: Clozapine; D004311: Double-Blind Method; D004334: Drug Administration Schedule; D005260: Female; D005500: Follow-Up Studies; D006220: Haloperidol; D006801: Humans; D008297: Male; D010349: Patient Compliance; D010352: Patient Dropouts; D012044: Regression Analysis; D012559: Schizophrenia; D016896: Treatment Outcome; D016312: Treatment Refusal; D015430: Weight Gain,,,https://openalex.org/W2048123560,104,15,1,1626,248,7
false,[clozapine in the treatment of schizophrenia].,"schizophrenia is associated with brain abnormalities and is typically evidenced by disorganized speech and behavior, delusions, and hallucinations; it usually requires extended hospitalization. its incidence in the western world is estimated at 4-7 cases/10,000/year. a method of shortening hospitalization and improving level of functioning is the use of unique medication, including clozapine, which has been in use in israel for the past 6 years. we report 327 patients who participated in a community rehabilitation program and were treated with clozapine. they were compared with 417 patients who corresponded to the guidelines of the director of mental health services for treatment with clozapine, but were not treated with it for reasons not defined in the guidelines. the study included those 25-44 and 45-64 years of age and according to the division of the population of patients hospitalized in both government and private hospitals. the project demonstrates the savings from use of clozapine as opposed to the alternative of hospitalizing these patients. it also shows the complexity and difficulty in assimilating new technologies, in relation to the influence of social considerations and supplier/insurer accounting on the patterns of technological assimilation.",Mark M,1999,Harefuah,,10959316,Mark M; Magnezi R; Luxenburg O; Siebzehner M; Shemer J,article,D016430: Clinical Trial; D018848: Controlled Clinical Trial; D004740: English Abstract; D016428: Journal Article; D016448: Multicenter Study,"D000328: Adult; D014150: Antipsychotic Agents; D003024: Clozapine; D017408: Guidelines as Topic; D016304: Hospitals, Private; D006779: Hospitals, Public; D006801: Humans; D015994: Incidence; D007557: Israel; D008605: Mental Health Services; D008875: Middle Aged; D010045: Outpatients; D012559: Schizophrenia",,,https://openalex.org/W172517116,46,9,1,1278,203,8
