include,title,abstract,first_author,year,journal,doi,pubmed_id,authors,pubmed_type,publication_types,mesh,webofscience_id,central_id,openalex_id,title_length,title_word_count,title_sentence_count,abstract_length,abstract_word_count,abstract_sentence_count
false,preterm labor.,"preterm labor is the leading cause of perinatal morbidity and mortality in the united states. it is characterized by cervical effacement and/or dilatation and increased uterine irritability before 37 weeks of gestation. women with a history of preterm labor are at greatest risk. strategies for reducing the incidence of preterm labor and delivery have focused on educating both physicians and patients about the risks for preterm labor and methods of detecting preterm cervical dilatation. methods used to predict preterm labor include weekly cervical assessment, transvaginal ultrasonography, detection of fetal fibronectin and home uterine activity monitoring. as yet, it is unclear if any of these strategies should be routinely employed. at present, management of preterm labor may include the use of tocolytic agents, corticosteroids and antibiotics.",Weismiller DG,1999,Am Fam Physician,,10029786,Weismiller DG,article,"D016428: Journal Article; D013485: Research Support, Non-U.S. Gov't; D016454: Review","D005260: Female; D006801: Humans; D007752: Obstetric Labor, Premature; D011247: Pregnancy; D012306: Risk; D012307: Risk Factors; D015149: Tocolytic Agents; D016216: Ultrasonography, Prenatal",,,https://openalex.org/W4299600072,14,3,1,856,137,7
false,efficacy of preconditioning with intracoronary diltiazem in preventing laser-induced spasm.,"laser energy produces a multitude of effects, resulting both in therapeutic tissue ablation and complications such as laser-induced spasm (lis). lis can occur during lasing itself or during subsequent adjunctive angioplasty. intracoronary diltiazem (icd) can partially reverse lis after it occurs. to determine whether pre-treatment with icd might prevent lis during laser interventions, 3 groups of 50 lesions each were studied. group 1 served as controls receiving no icd during the procedure. group 2 received 2.5 mg icd before lasing. group 3 received icd before lasing and then a second infusion of 2.5 mg icd after lasing but before adjunctive therapy. there were no differences in clinical characteristics of the 3 groups. over 75% of lesions in each group were complex (b2 or c) lesions, and average lesion length was 15 mm in all 3 groups. procedural success was > or = 94% in all groups. there was no significant difference among groups in pre-procedure artery stenosis, post-procedure stenosis, laser power used or number of laser pulses delivered. pretreatment with icd produced vasodilation of the minimum lumen diameter from 0.86 +/- 0.1 to 1.0 +/- 0.1 mm (p < 0.01) and was well tolerated. control patients exhibited a 12% incidence of lis. group 2 had an 80% reduction of lis during lasing (p < 0.01) but had increased lis during adjunctive therapy with the same 12% incidence of lis overall. group 3 had only a 2% incidence of lis (p < 0.01). we concluded that pretreatment with icd significantly reduces lis. multiple infusions of icd are necessary to sustain this protective effect.",McIvor M,1995,J Invasive Cardiol,,10158113,McIvor M; Undemir C; Moses J; Reddinger J; Lawson J,article,D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article; D016449: Randomized Controlled Trial,"D000328: Adult; D000368: Aged; D015906: Angioplasty, Balloon, Coronary; D017222: Angioplasty, Balloon, Laser-Assisted; D002121: Calcium Channel Blockers; D003329: Coronary Vasospasm; D004110: Diltiazem; D004305: Dose-Response Relationship, Drug; D004334: Drug Administration Schedule; D005260: Female; D006801: Humans; D007261: Infusions, Intra-Arterial; D008297: Male; D008875: Middle Aged; D011292: Premedication; D011859: Radiography; D016896: Treatment Outcome",,,https://openalex.org/W2406071529,91,11,1,1601,302,17
false,incidence of adverse drug reactions in adult medical inpatients.,"this study was a prospective observational study of adr occurrence and evaluation in adult internal medicine inpatients conducted over a 120-day period. clinical pharmacists screened for adrs at a county hospital in indianapolis, in. patient information was reviewed on admission, every four days during hospitalization, and at discharge. adrs occurring after hospital admission were assessed for causality, severity, pharmacological type (i.e., augmented pharmacology versus idiosyncratic reaction) and affected organ system. nurse and pharmacist reports, incident reports, physician consults, patient transfers to critical care units, and serum drug concentration reports were additional means of adr identification. overall, 23.1% of patients experienced an adr while 2.6% of the 11,702 drug exposures resulted in an adr. patients aged greater than 65 years (29.6% vs. 20.5% for younger patients) and females (26.2% vs. 20% for males) were at higher risk for adr development (p < 0.05). length of hospital stay was longer (13.3 days vs. 6.7 days; p < 0.05) and drug exposures more frequent for patients experiencing adrs (p < 0.001). furosemide elicited the most adrs with 36 in 244 patient exposures (14.7%). diltiazem, enalapril, heparin, trimterene/hydrochlorothiazide combination and captopril were also frequently implicated. adrs were classified as mild (35.9%), moderate (52.6%), and severe (10.2%). organ systems most commonly affected were the metabolic/hematologic (32.9%), gastrointestinal (17.8%), genitourinary (11.8%), and cardiovascular (10.5%). over 30% of events were idiosyncratic reactions. adr incidence was consistent with previous literature. many frequently implicated medications were newer agents and the severity of events was less than previously reported.",Bowman L,1994,Can J Hosp Pharm,,10172139,Bowman L; Carlstedt BC; Black CD,article,"D016428: Journal Article; D013487: Research Support, U.S. Gov't, P.H.S.","D000328: Adult; D016907: Adverse Drug Reaction Reporting Systems; D064420: Drug-Related Side Effects and Adverse Reactions; D006745: Hospital Bed Capacity, 300 to 499; D006766: Hospitals, County; D006801: Humans; D007196: Indiana; D010607: Pharmacy Service, Hospital",,,https://openalex.org/W131874683,64,10,1,1786,327,15
false,calcium channel blockers in myocardial and cerebral ischemia: a clinician's review from bench to bedside.,"calcium channel blockers constitute a very important group of drugs that are commonly used in the treatment of cardiovascular and cerebrovascular disorders. current indications for these medications include hypertension, angina, supraventricular arrhythmias, and prevention of coronary and cerebral vasospasm. although calcium channel blockers originally held great promise in the treatment of myocardial and cerebral ischemia, clinical results have been discouraging. an understanding of the basic physiological mechanisms of actions for these drugs is important for the practising clinician and may explain the disappointing results for the treatment of ischemia to date. this paper is a narrative review, from a clinician's viewpoint, of the structure and role of calcium channels in cardiac and cerebrovascular tissues, as well as a review of the in vitro and clinical results of calcium channel blockade in myocardial and cerebral ischemia.",Borger MA,1999,Can J Cardiol,,10202197,Borger MA; Weisel RD,article,"D003160: Comparative Study; D016428: Journal Article; D013485: Research Support, Non-U.S. Gov't; D016454: Review",D002545: Brain Ischemia; D002121: Calcium Channel Blockers; D015220: Calcium Channels; D005500: Follow-Up Studies; D006801: Humans; D017202: Myocardial Ischemia; D016032: Randomized Controlled Trials as Topic; D012189: Retrospective Studies; D016896: Treatment Outcome,,,https://openalex.org/W2411044431,105,18,1,945,148,5
false,"[lowering of diastolic blood pressure < or = 90 mmhg should not be attempted, except in type 2 diabetics; the 'hypertension optimal treatment' (hot) trial].","recently the 'hypertension optimal treatment' (hot) study was reported. in this study 18,790 patients with diastolic blood pressure between 100 and 115 mmhg were randomly assigned target pressures of < or = 90, < or = 85 and < or = 80 mmhg respectively, and treated with a felodipine-based antihypertensive regimen. in all three groups an impressive fall in both diastolic and systolic blood pressures, and as a consequence very few major cardiovascular events (the primary endpoint of the study) were observed, but there was no difference in endpoint scores among the three groups. type 2 diabetic patients fared substantially better than non-diabetic patients and they are likely to profit if their diastolic pressure is decreased below 80 mmhg. in the remaining patients rigorous maintenance of present-day standards (diastolic pressure < or = 90 mmhg) is advised. the addition of 75 mg aspirin 1 dd resulted in a modest but significant reduction of major cardiovascular events, but at the cost of increased gastrointestinal bleedings.",Wesseling H,1999,Ned Tijdschr Geneeskd,,10389531,Wesseling H,article,D016430: Clinical Trial; D016420: Comment; D003160: Comparative Study; D004740: English Abstract; D016428: Journal Article; D016448: Multicenter Study; D016449: Randomized Controlled Trial,"D000328: Adult; D000368: Aged; D001241: Aspirin; D001794: Blood Pressure; D002121: Calcium Channel Blockers; D002318: Cardiovascular Diseases; D003924: Diabetes Mellitus, Type 2; D003971: Diastole; D015736: Felodipine; D005260: Female; D006471: Gastrointestinal Hemorrhage; D006801: Humans; D006973: Hypertension; D008297: Male; D008875: Middle Aged; D009426: Netherlands; D012189: Retrospective Studies; D015996: Survival Rate",,,https://openalex.org/W2399263992,156,33,1,1038,182,6
false,comparison of bisoprolol and verapamil in hypertension: influence on left ventricular mass and function--a pilot study.,"the objective of this study was to test the influence of bisoprolol and verapamil on left ventricular filling in hypertensive patients in a 6 month randomized, double-blind trial in 54 hypertensive patients not previously treated with beta-blockers or calcium inhibitors. after administration of placebo for 14 days, an m echocardiogram of the left ventricle was recorded to determine left ventricular mass. blood flow was evaluated by pulsed doppler sonography. after randomization into two groups, one group received 10 mg of bisoprolol and the other 240 mg of verapamil lp in a single dose in the morning. after 2 months' treatment, the patients whose blood pressure was not well controlled were given a diuretic. echo-doppler was performed again by the same operator after 4-10 days on active treatment, after 6 months and after a subsequent 2 weeks of placebo for the patients treated with a single drug. the reduction in blood pressure was comparable in the two treated groups, but there was no significant decrease in left ventricular mass. left ventricular filling was improved only in the patients receiving bisoprolol. the effect was observed immediately after the first administration and throughout the 6 months' treatment period declining slowly during the placebo wash-out. this effect appeared to be independent of any alteration in heart rate and was thought to be a specific action of this drug.",Gosse P,1999,Therapie,,10394257,Gosse P; Gressin V; Clerson P; Lemetayer P; Clémenty J,article,"D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article; D016449: Randomized Controlled Trial; D013485: Research Support, Non-U.S. Gov't","D000293: Adolescent; D000319: Adrenergic beta-Antagonists; D000328: Adult; D000368: Aged; D000959: Antihypertensive Agents; D017298: Bisoprolol; D002121: Calcium Channel Blockers; D004311: Double-Blind Method; D015150: Echocardiography, Doppler; D005260: Female; D006352: Heart Ventricles; D006801: Humans; D006973: Hypertension; D017379: Hypertrophy, Left Ventricular; D008297: Male; D008875: Middle Aged; D009929: Organ Size; D010865: Pilot Projects; D016277: Ventricular Function, Left; D014700: Verapamil",,,https://openalex.org/W2277245366,119,20,1,1412,242,10
false,comparison of clinical efficacy and adverse effects between extended-release felodipine and slow-release diltiazem in patients with isolated systolic hypertension.,"isolated systolic hypertension (ish) is a risk factor for cardiovascular disease. extended-release felodipine (felodipine er) has been shown to be effective in the treatment of ish in caucasians. however, its pharmacological properties are different from another calcium blocker, diltiazem. also, the effectiveness, tolerability, and adverse reactions of these two antihypertensive agents for ish have not been thoroughly assessed in chinese.sitting blood pressures (bp), heart rate, body weight, adverse reactions, and serum biochemistry were assessed in 70 patients with isolated systolic hypertension (34 treated with felodipine er and 36 slow-release diltiazem [diltiazem sr] for 10 weeks). each patient was given 5 mg of felodipine er or 90 mg of diltiazem sr once daily and was doubled to twice daily if necessary.five patients on felodipine er and four on diltiazem sr withdrew because of intolerable side effects. by ten weeks, 67.6% of the patients responded to a daily dose of 5-10 mg of felodipine er and 58.3% to a daily dose of 90-180 mg of diltiazem sr. at the end of treatment, felodipine er lowered the mean bp from 187/83 mmhg at baseline to 149/74 mmhg, whereas diltiazem sr decreased the bp from 185/84 mmhg to 158/78 mmhg (not significant between the two groups). the heart rate did not change significantly in either group. overall, these two groups of patients had the same rate of adverse reactions (50.0% vs. 50.0%) with similar profiles of the adverse effects.equivalent doses of felodipine er and diltiazem sr are effective first-line monotherapeutic agents for the treatment of ish.",Chern MS,1999,Changgeng Yi Xue Za Zhi,,10418209,Chern MS; Lin FC; Wu D,article,D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article; D016449: Randomized Controlled Trial,D000328: Adult; D000368: Aged; D002121: Calcium Channel Blockers; D004110: Diltiazem; D015736: Felodipine; D005260: Female; D006801: Humans; D006973: Hypertension; D008297: Male; D008875: Middle Aged,,,https://openalex.org/W2404832527,163,20,1,1609,291,8
false,comparison of antihypertensive efficacy and tolerability of losartan and extended-release felodipine in patients with mild to moderate hypertension.,"appropriate control of blood pressure has been shown to reduce morbidity and mortality in patients with hypertension. losartan potassium, a selective antagonist of the angiotensin ii type 1 (at1) receptor, has been shown to lower blood pressure in patients with hypertension. the purpose of this study was to compare the efficacy and tolerability of losartan and extended-release (er) felodipine in taiwanese patients with mild to moderate hypertension. patients with mild to moderate hypertension (sitting diastolic blood pressure, 95-115 mm hg) were enrolled in this prospective, randomized, parallel study. sitting blood pressure, heart rate, adverse reactions, and serum biochemistry values were assessed during 2 weeks of placebo and 12 weeks of active treatment. each patient received 50 mg of losartan or 5 mg of felodipine er once daily, and the dosage was adjusted to double the initial level at week 6 if necessary. of the 44 patients randomly allocated to receive losartan (n = 23) or felodipine (n = 21) therapy, 37 completed the study; three patients in the losartan group and four in the felodipine group withdrew because of adverse experiences, or were lost to follow-up. the mean reductions in sitting diastolic blood pressure at 6 and 12 weeks were significant with both losartan (-8.6 and -11.38 mm hg, respectively) and felodipine (-9.2 and -10.69 mm hg, respectively), and did not differ significantly between the two groups. both losartan and er felodipine were well tolerated by patients. however, the er felodipine group had a significantly higher rate of drug-related flushing than the losartan group (24% vs 0%, p = 0.022). the results indicate that once-daily administration of losartan is as effective and well tolerated as once-daily er felodipine in blood pressure reduction.",Hung MJ,1999,J Formos Med Assoc,,10443063,Hung MJ; Lin FC; Cherng WJ; Wang CH; Hung KC; Hsieh IC; Wen MS; Wu D,article,"D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article; D016449: Randomized Controlled Trial; D013485: Research Support, Non-U.S. Gov't",D000328: Adult; D000368: Aged; D000704: Analysis of Variance; D000959: Antihypertensive Agents; D003692: Delayed-Action Preparations; D015736: Felodipine; D005260: Female; D006801: Humans; D006973: Hypertension; D019808: Losartan; D008297: Male; D008875: Middle Aged; D011446: Prospective Studies,,,https://openalex.org/W2418936151,148,19,1,1804,328,11
false,[effect of intensive antihypertensive treatment and of aspirin in a low dose in the hypertensive. the hot (hypertension optimal treatment) study].,"the aim of the hot study (hypertension optimal treatment) was to determine the optimal diastolic blood pressure decrease and to assess the effect of the acetyl salicylic acid as a primary prevention on the cardiovascular morbidity and mortality in hypertensive patients. the hot study is an open, prospective, randomised, international trial with blinded end points. this study included 18,790 patients, 50 to 80 years old (mean 61.5 years) in 26 countries (1,574 patients in france) with a primary hypertension (100 < or = pad < or = 115 mmhg). the patients were randomised in 3 target diastolic blood pressure: < or = 80 mmhg (n = 6,262), < or = 85 mmhg (n = 6,264), < or = 90 mmhg (n = 6,264). the felodipine lp, a long acting dihydropyridine, was selected as a first line therapy, other hypertension drugs combined if necessary. the lowest incidence of cardiovascular events was observed at a diastolic blood pressure level of 82.6 mmhg. there was no increased risk below this level even in the hypertensive patients with medical history of coronary heart disease or stroke. in the diabetic population, the diastolic blood pressure decrease from 90 to 80 reduced the incidence of the major cardiovascular events by 51%. the acetyl salicylic acid reduced the myocardial infarction risk in the blood pressure well-controlled population.",Mallion JM,1999,Arch Mal Coeur Vaiss,,10486668,Mallion JM; Benkritly A; Hansson L; Zanchetti A,article,D016430: Clinical Trial; D004740: English Abstract; D016428: Journal Article; D016448: Multicenter Study; D016449: Randomized Controlled Trial,"D000368: Aged; D000369: Aged, 80 and over; D000959: Antihypertensive Agents; D001241: Aspirin; D004305: Dose-Response Relationship, Drug; D004311: Double-Blind Method; D004359: Drug Therapy, Combination; D005060: Europe; D015736: Felodipine; D006801: Humans; D006973: Hypertension; D008875: Middle Aged",,,https://openalex.org/W593384039,146,27,2,1338,255,9
false,pharmacovigilance: characteristics of the most widely used drugs in bulgaria.,"in the present study we analysed registered adverse drug reactions caused by 19 most used drugs in bulgaria during three-year period. the cases were assembled from the spontaneous reporting system operated in our country. we described demographic characteristics of the patients, clinical diagnosis and reporting rates per 100,000 inhabitants for each drug. the data for antibiotics were compared with the results of our previous research. we analysed 188 adverse drug reactions i.e. 21% of all reports received in the centre for drug safety of the national drug institute. adverse drug reactions type b such as oedema, allergy, coma, etc. predominate. the number of cases with perforated ulcer and melaena caused by acetylsalicylic acid is considerable. the frequency of adverse drug reaction for the investigated drugs in ""rare"" according to who standards. it is necessary to assemble more information on adverse drug reactions and every serious case and inform medical doctors and pharmacists as a first step for improving the pharmacovigilance system in bulgaria.",Getov I,1999,Cent Eur J Public Health,,10499144,Getov I; Dimitrova Z,article,D016428: Journal Article,"D000293: Adolescent; D000328: Adult; D016907: Adverse Drug Reaction Reporting Systems; D017677: Age Distribution; D000900: Anti-Bacterial Agents; D002031: Bulgaria; D002648: Child; D002675: Child, Preschool; D016903: Drug Monitoring; D064420: Drug-Related Side Effects and Adverse Reactions; D005260: Female; D006801: Humans; D007223: Infant; D007231: Infant, Newborn; D008297: Male; D008875: Middle Aged; D017891: Pharmacoepidemiology; D017678: Sex Distribution",,,https://openalex.org/W2414479305,77,12,1,1067,181,11
