index,include,title,abstract,first_author,year,journal,doi,pubmed_id,authors,pubmed_type,publication_types,mesh,webofscience_id,central_id,openalex_id,title_length,title_word_count,title_sentence_count,abstract_length,abstract_word_count,abstract_sentence_count,language_title,language_abstract
0,true,comparative efficacy olanzapine haloperidol patient treatmentresistant schizophreniasee accompany editorial issue,abstract background relatively little information regard efficacy new atypical antipsychotic drug patient schizophrenia treatmentresistant neuroleptic agent several line evidence suggest clinical trial olanzapine population warrant method subpopulation patient n meeting treatmentresistant criterion select large prospective doubleblind week study assess efficacy safety olanzapine haloperidol examine lastobservationcarriedforward locf completers observe case analysis conduct result olanzapine demonstrate significantly great mean improvement baseline positive negative syndrome scale panss negative symptom comorbid depressive symptom assess montgomeryasberg depression rating scale akathisia measure barnes akathisia scale extrapyramidal symptom measure simpsonangus extrapyramidal rating scale locf completers analysis addition olanzapine significantly superior haloperidol brief psychiatric rating scale total p panss total p panss positive symptom p completers week study significantly great response rate observe olanzapinetreated haloperidoltreated patient locf analysis p significance reach completers analysis p mean dose sd olanzapine haloperidol mgday mgday respectively conclusion olanzapine superior haloperidol key symptom domain parkinsonian side effect implication data therapeutic severely ill subgroup discuss,Breier A,1999,Biol Psychiatry,https://doi.org/10.1016/s0006-3223(98)00291-1,10071708,Breier A; Hamilton SH,article,"D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article; D016448: Multicenter Study; D016449: Randomized Controlled Trial; D013485: Research Support, Non-U.S. Gov't","D000328: Adult; D017109: Akathisia, Drug-Induced; D000704: Analysis of Variance; D014150: Antipsychotic Agents; D001526: Behavioral Symptoms; D001569: Benzodiazepines; D016009: Chi-Square Distribution; D004311: Double-Blind Method; D004351: Drug Resistance; D004409: Dyskinesia, Drug-Induced; D005260: Female; D006220: Haloperidol; D006801: Humans; D008297: Male; D008875: Middle Aged; D000077152: Olanzapine; D010890: Pirenzepine; D011446: Prospective Studies; D012559: Schizophrenia; D016896: Treatment Outcome",,,https://openalex.org/W2081095472,146,18,1,1848,338,10,en,en
1,false,placebocontrolled crossover trial dcycloserine add clozapine patient schizophrenia,background dcycloserine partial agonist glycine recognition site nmda receptor previously show improve negative symptom add conventional antipsychotic one preliminary dosefinding study worsen negative symptom add clozapine method seventeen schizophrenia outpatient treat clozapine assign random order week trial dcycloserine mgday placebo crossover design separate week placebo washout result eleven patient compete week study dcycloserine significantly worsen rating negative symptom compare placebo significantly affect rating psychotic symptom conclusion differ effect dcycloserine negative symptom add clozapine compare conventional antipsychotic suggest activation glycine recognition site may play role clozapine efficacy negative symptom,Goff DC,1999,Biol Psychiatry,https://doi.org/10.1016/s0006-3223(98)00367-9,10071726,Goff DC; Henderson DC; Evins AE; Amico E,article,"D016430: Clinical Trial; D018848: Controlled Clinical Trial; D016428: Journal Article; D016449: Randomized Controlled Trial; D013487: Research Support, U.S. Gov't, P.H.S.","D000328: Adult; D014150: Antipsychotic Agents; D001526: Behavioral Symptoms; D003024: Clozapine; D018592: Cross-Over Studies; D003523: Cycloserine; D004311: Double-Blind Method; D004347: Drug Interactions; D004359: Drug Therapy, Combination; D018690: Excitatory Amino Acid Agonists; D005260: Female; D006801: Humans; D008297: Male; D011569: Psychiatric Status Rating Scales; D012559: Schizophrenia; D016896: Treatment Outcome",,,https://openalex.org/W2037491528,103,13,1,966,148,5,en,en
2,false,lowdose clozapine treatment druginduced psychosis parkinson disease,druginduced psychosis difficult problem manage patient parkinson disease multiple openlabel study report treatment clozapine low dos ameliorate psychosis without worsen parkinsonismwe conduct randomized doubleblind placebocontrolled trial low dos clozapine mg per day patient six site period month patient mean age year idiopathic parkinson disease druginduced psychosis least four week duration patient continue receive fixed dos antiparkinsonian drug four week trial blood count monitored weekly patientsthe mean dose clozapine mg per day patient clozapine group significantly improvement placebo group three measure use determine severity psychosis mean se score clinical global impression scale improve point patient receive clozapine compare point receive placebo p score brief psychiatric rating scale improve point patient receive clozapine compare point receive placebo p score scale assessment positive symptom improve point patient receive clozapine compare point receive placebo p seven patient treat clozapine improvement least three sevenpoint clinical global impression scale compare one patient give placebo clozapine treatment improve tremor deleterious effect severity parkinsonism one patient clozapine discontinue leukopeniaclozapine daily dos mg less safe significantly improves druginduced psychosis without worsen parkinsonism,Parkinson Study Group,1999,N Engl J Med,https://doi.org/10.1056/nejm199903113401003,10072410,Parkinson Study Group,article,"D016430: Clinical Trial; D016428: Journal Article; D016448: Multicenter Study; D016449: Randomized Controlled Trial; D013485: Research Support, Non-U.S. Gov't; D013487: Research Support, U.S. Gov't, P.H.S.","D000368: Aged; D000978: Antiparkinson Agents; D014150: Antipsychotic Agents; D003024: Clozapine; D004311: Double-Blind Method; D005260: Female; D006801: Humans; D008297: Male; D010300: Parkinson Disease; D011605: Psychoses, Substance-Induced; D016896: Treatment Outcome",,,https://openalex.org/W4239283954,85,12,1,1994,336,12,en,en
3,false,manage psychosis patient parkinson disease,manage psychosis one difficult challenge care patient parkinson disease complication occur percent patient consists visual hallucination belief one persecuted fear personal endangerment feeling follow spy threaten psychosis major source distress patient exacerbate burden family member associate early transfer nursing home increased mortality manage psychosis patient parkinson disease clinician face motionemotion conundrum dopaminergic drug,Cummings JL,1999,N Engl J Med,https://doi.org/10.1056/nejm199903113401011,10072418,Cummings JL,article,D016420: Comment; D016421: Editorial,"D000978: Antiparkinson Agents; D014150: Antipsychotic Agents; D003024: Clozapine; D006801: Humans; D010300: Parkinson Disease; D011605: Psychoses, Substance-Induced; D012702: Serotonin Antagonists",,,https://openalex.org/W1977576064,55,8,1,667,115,6,en,en
4,false,comparison risperidone mosapramine addition neuroleptic treatment chronic schizophrenia,little information regard effect risperidone addition neuroleptic treatment chronic schizophrenia preliminary study neuroleptictreated schizophrenic inpatient receive risperidone high htsubasubdsubsub ratio ie ratio htsubasub dsubsub receptor occupancy mosapramine low htsubasubdsubsub ratio randomized singleblind crossover addon study consist week treatment risperidone mosapramine although addition result significant albeit modest improvement significant difference score positive negative syndrome scale schizophrenia risperidone mosapramine addition result suggest risperidone mosapramine bring comparable effect addon design thus risperidone high htsubasubdsubsub ratio seem good mosapramine low htsubasubdsubsub ratio combine conventional neuroleptic study include large number patient doubleblind design need,Takahashi N,1999,Neuropsychobiology,https://doi.org/10.1159/000026565,10072664,Takahashi N; Terao T; Oga T; Okada M,article,D016430: Clinical Trial; D016428: Journal Article; D016449: Randomized Controlled Trial,"D000328: Adult; D000704: Analysis of Variance; D014150: Antipsychotic Agents; D001526: Behavioral Symptoms; D001552: Benzazepines; D002908: Chronic Disease; D018592: Cross-Over Studies; D004359: Drug Therapy, Combination; D006801: Humans; D008297: Male; D008875: Middle Aged; D010865: Pilot Projects; D018967: Risperidone; D012559: Schizophrenia; D016037: Single-Blind Method; D013997: Time Factors; D016896: Treatment Outcome",,,https://openalex.org/W2071658501,100,12,1,1282,319,7,en,en
5,false,errorless learning cognitive rehabilitation memoryimpaired schizophrenic patient,recent year evidence accumulate significant proportion schizophrenic patient severe memory impairment attribute effect medication chronicity institutionalization group demonstrate memory impairment associate poor psychosocial outcome treatment resistance work classical amnesic syndrome suggest memory training facilitate adopt errorless learning approach subject experience failure learn base theory preserved implicit memory amnesic patient result implicitly remember incorrect response interfere target item absence functioning explicit memory system allow differentiationwe compare three group subject memoryimpaired schizophrenic patient memory unimpaired schizophrenic patient healthy controlsan errorless learn approach confer significant advantage memoryimpaired schizophrenic group bring performance level control group contrast adopt traditional trial error errorful approach result markedly impaired performance memoryimpaired schizophrenic group onlywe conclude errorless learn approach may worthy evaluation cognitive rehabilitation memoryimpaired schizophrenic patient,O'Carroll RE,1999,Psychol Med,https://doi.org/10.1017/s0033291798007673,10077298,O'Carroll RE; Russell HH; Lawrie SM; Johnstone EC,article,"D003160: Comparative Study; D016428: Journal Article; D013485: Research Support, Non-U.S. Gov't",D000328: Adult; D015928: Cognitive Behavioral Therapy; D005260: Female; D006801: Humans; D007858: Learning; D008297: Male; D008569: Memory Disorders; D009483: Neuropsychological Tests; D012559: Schizophrenia; D012720: Severity of Illness Index,,,https://openalex.org/W2164169828,93,10,1,1420,204,5,en,en
6,false,predictor relapse follow response first episode schizophrenia schizoaffective disorder,backgroundwe examine relapse response first episode schizophrenia schizoaffective disordermethods patient firstepisode schizophrenia assess measure psychopathologic variable cognition social functioning biological variable treat accord standardize algorithmthe sample relapse analyse consist patient respond treatment index episode risk relapseresults five year initial recovery cumulative first relapse rate confidence interval ci second relapse rate ci year recovery second relapse cumulative third relapse rate ci discontinuing antipsychotic drug therapy increase risk relapse almost time hazard ratio initial relapse ci hazard ratio second relapse ci subsequent analyse control antipsychotic drug use show patient poor premorbid adaptation school premorbid social withdrawal relapse earliersex diagnosis obstetric complication duration psychotic illness treatment baseline symptom neuroendocrine measure methylphenidate hydrochloride challenge response neuropsychologic magnetic resonance image measure time response initial episode adverse effect treatment presence residual symptom initial episode significantly relate time relapse conclusionsthere high rate relapse within year recovery first episode schizophrenia schizoaffective disorderthis risk diminish maintenance antipsychotic drug treatment,Robinson D,1999,Arch Gen Psychiatry,https://doi.org/10.1001/archpsyc.56.3.241,10078501,Robinson D; Woerner MG; Alvir JM; Bilder R; Goldman R; Geisler S; Koreen A; Sheitman B; Chakos M; Mayerhoff D; Lieberman JA,article,"D016428: Journal Article; D013485: Research Support, Non-U.S. Gov't; D013487: Research Support, U.S. Gov't, P.H.S.",D000293: Adolescent; D000328: Adult; D014150: Antipsychotic Agents; D015331: Cohort Studies; D005260: Female; D005476: Fluphenazine; D005500: Follow-Up Studies; D006212: Hallucinations; D006801: Humans; D008137: Longitudinal Studies; D008279: Magnetic Resonance Imaging; D009483: Neuropsychological Tests; D010349: Patient Compliance; D011247: Pregnancy; D011248: Pregnancy Complications; D011336: Probability; D011569: Psychiatric Status Rating Scales; D011618: Psychotic Disorders; D012307: Risk Factors; D012559: Schizophrenia; D012565: Schizophrenic Psychology; D055502: Secondary Prevention; D012720: Severity of Illness Index; D012737: Sex Factors; D016896: Treatment Outcome,,,https://openalex.org/W2154849243,106,14,1,1787,304,2,en,en
7,true,comparison risperidone placebo psychosis behavioral disturbance associate dementia,report finding first large doubleblind placebocontrolled study conduct evaluate efficacy safety risperidone treatment psychotic behavioral symptom institutionalized elderly patient dementia patient woman mean age year dsmiv diagnosis alzheimers disease vascular dementia mixed dementia significant psychotic behavioral symptom include patient randomly assign receive placebo mgday mgday mgday risperidone week primary outcome measure behavioral pathology alzheimers disease rating scale behaveadthe study complete patient baseline functional assessment stag score patient indicate severe dementia endpoint significantly great reduction behavead total score psychosis aggressiveness subscale score see patient receive mgday risperidone placebo patient p p respectively week mgday risperidone superior placebo reduce behavead aggression score p adverse event report patient receive mgday risperidone mgday common doserelated adverse event extrapyramidal symptom somnolence mild peripheral edema frequency extrapyramidal symptom patient receive mgday risperidone significantly great placebo patientsrisperidone significantly improve symptom psychosis aggressive behavior patient severe dementia result show mgday risperidone appropriate dose elderly patient dementia,Katz IR,1999,J Clin Psychiatry,https://doi.org/10.4088/jcp.v60n0207,10084637,Katz IR; Jeste DV; Mintzer JE; Clyde C; Napolitano J; Brecher M,article,"D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article; D016449: Randomized Controlled Trial; D013485: Research Support, Non-U.S. Gov't","D000368: Aged; D000369: Aged, 80 and over; D000374: Aggression; D000544: Alzheimer Disease; D014150: Antipsychotic Agents; D001480: Basal Ganglia Diseases; D003704: Dementia; D015140: Dementia, Vascular; D004305: Dose-Response Relationship, Drug; D004311: Double-Blind Method; D004334: Drug Administration Schedule; D005260: Female; D015577: Geriatric Assessment; D006801: Humans; D007326: Institutionalization; D008297: Male; D010919: Placebos; D018967: Risperidone; D012720: Severity of Illness Index; D016896: Treatment Outcome",,,https://openalex.org/W1993818042,104,13,1,1790,308,10,en,en
8,false,evidence association serotonina receptor variant tc schizophrenia clozapine response chinese population,serotonin hypothesis schizophrenia regain interest superior efficacy clozapine refractory schizophrenic patient among serotonin receptors serotonin hta receptor subtype widely study previous study association silent mutation polymorphism hta gene tc schizophrenia clozapine response yield conflicting finding therefore investigate whether genetic variant hta receptor associate schizophrenia response clozapine treatment chinese population ninetyseven schizophrenic patient control subject include study receptor variant find similar frequency schizophrenic patient healthy control subject also find variant influence response clozapine schizophrenic patient suggest assessment method clozapine response ethnicity may influence result,Lin CH,1999,Neuroreport,https://doi.org/10.1097/00001756-199901180-00011,10094133,Lin CH; Tsai SJ; Yu YW; Song HL; Tu PC; Sim CB; Hsu CP; Yang KH; Hong CJ,article,"D016430: Clinical Trial; D018848: Controlled Clinical Trial; D016428: Journal Article; D013485: Research Support, Non-U.S. Gov't","D000328: Adult; D014150: Antipsychotic Agents; D044466: Asian People; D003024: Clozapine; D005260: Female; D006801: Humans; D008297: Male; D009154: Mutation; D011110: Polymorphism, Genetic; D044402: Receptor, Serotonin, 5-HT2A; D011985: Receptors, Serotonin; D012559: Schizophrenia; D012702: Serotonin Antagonists; D013624: Taiwan",,,https://openalex.org/W2063107423,134,20,1,1008,157,8,en,en
9,false,combined analysis doubleblind study risperidone v placebo antipsychotic agent factor associate extrapyramidal symptom,combine data doubleblind risperidone study use analyse severity extrapyramidal symptom eps associate treatment patient chronic schizophrenia factor associate maximum eps severity increase risperidone dose mgday similar placebo low baseline eps score long duration psychotic symptom particularly old patient eps severity significantly great patient receive haloperidol antipsychotic receive risperidone mgday placebo antiparkinsonian medication require significantly patient treat risperidone mgday patient treat haloperidol antipsychotic combine efficacy data show mgday also efficacious dose range increase efficacy dos mgday base data postmarketing experience mgday appropriate initial target dose patient schizophrenia high dos may appropriate patient chronic illness low dos may appropriate patient first psychotic episode elderly patient,Lemmens P,1999,Acta Psychiatr Scand,https://doi.org/10.1111/j.1600-0447.1999.tb00972.x,10100910,Lemmens P; Brecher M; Van Baelen B,article,D016430: Clinical Trial; D003160: Comparative Study; D016428: Journal Article,"D000293: Adolescent; D000328: Adult; D000368: Aged; D000369: Aged, 80 and over; D000978: Antiparkinson Agents; D014150: Antipsychotic Agents; D002648: Child; D004305: Dose-Response Relationship, Drug; D004311: Double-Blind Method; D004409: Dyskinesia, Drug-Induced; D005260: Female; D006801: Humans; D008297: Male; D008875: Middle Aged; D018967: Risperidone; D012559: Schizophrenia; D012720: Severity of Illness Index; D013997: Time Factors",,,https://openalex.org/W2039457372,152,20,1,1208,199,7,en,en
